precursorID,name,drug_group,drug_class,formula_db,mono_mass_db,parent_id,smiles_db,key,raw_key14,scaffold_group,n_fragments_raw,parent_formal_charge,parent_mono_mass,mh_mz,elements,mw_subject_name,in_mw_subjects,hilicpos_raw_files,hilicpos_0hr_raw_files,c18pos_raw_files,feature_lists_aligned,db_MH_feature_modes,db_MH_in_hilicpos,db_MH_in_any_pos,in_msg15_recorded_all,in_msg15_parent_all,in_msg15_recorded_train,in_msg15_parent_train,in_msg15_simchallenge_recorded_all,in_muru_registry,in_muru_registry_direct,in_muru_exposed_union,in_study2_pop,in_comparator_pop,in_msnlib_v1_4lib,in_msnlib_9lib,in_muru_exposed_populations,in_muru_dev_population,in_msg15_parent_simchallenge,in_msg15_orbitrap_MH_parent,scaffold_in_muru_exposed_populations,scaffold_in_muru_registry,scaffold_in_study2_pop,scaffold_in_comparator_pop,scaffold_in_msg15_all,name_checked,name_resolved,name_key_matches_db,name_route_in_msg15,name_keys
PM0000011,a-Tochopherol,Others,vitamin E,C29H50O2,430.3811,2116,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,GVJHHUAWPYXKBD,GVJHHUAWPYXKBD,c1ccc2c(c1)CCCO2,1,0,430.38108084,431.388357307,C;O,a-Tochopherol,True,4,2,0,True,,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,,,,
PM0000012,a-Tochopherol acetate,Others,vitamin E,C31H52O3,472.3916,2117,CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C,ZAKOWWREFLAJOT,ZAKOWWREFLAJOT,c1ccc2c(c1)CCCO2,1,0,472.39164552399996,473.39892199099995,C;O,a-Tochopherol acetate,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000013,Abacavir,Antimicrobial,Anti-viral,C14H18N6O,286.1542092,441300,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,MCGSCOLBFJQGHM,MCGSCOLBFJQGHM,C1=CC(n2cnc3c(NC4CC4)ncnc32)CC1,1,0,286.15420919599995,287.16148566299995,C;N;O,Abacavir,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000014,Acadesine,Antiinflammatory and Immunomodulatory,glucose uptake stimulant,C9H14N4O5,258.0964196,17513,C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N,RTRQQBHATOEIAF,RTRQQBHATOEIAF,c1cn(C2CCCO2)cn1,1,0,258.09641954800003,259.103696015,C;N;O,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000015,Acamprosate,Central nervous system,alcohol antagonist,C5H11NO4S,181.0408785,71158,CC(=O)NCCCS(=O)(=O)O,AFCGFAGUEYAMAO,AFCGFAGUEYAMAO,__ACYCLIC__AFCGFAGUEYAMAO,1,0,181.040878832,182.048155299,C;N;O;S,Acamprosate,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000016,Acarbose,Endocrine and metabolic,alpha-glucosidase & saccharase inhibitor,C25H43NO18,645.2480136,41774,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,XUFXOAAUWZOOIT,XUFXOAAUWZOOIT,C1=CC(NC2CCC(OC3CCC(OC4CCCOC4)OC3)OC2)CCC1,1,0,645.2480135359999,646.2552900029999,C;N;O,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,,,,
PM0000017,Acecainide,Cardiovascular,Anti-arrhythmic,C15H23N3O2,277.179027,4342,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)C,KEECCEWTUVWFCV,KEECCEWTUVWFCV,c1ccccc1,1,0,277.179026976,278.186303443,C;N;O,Acecainide,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,,,,
PM0000018,Aceclofenac,Antiinflammatory and Immunomodulatory,Antiinflammatory,C16H13Cl2NO4,353.0221633,71771,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,MNIPYSSQXLZQLJ,MNIPYSSQXLZQLJ,c1ccc(Nc2ccccc2)cc1,1,0,353.022163256,354.029439723,C;Cl;N;O,Aceclofenac,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,,,,
PM0000019,Acedapsone,Antimicrobial,Antimalarial,C16H16N2O4S,332.0830777,6477,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C,AMTPYFGPPVFBBI,AMTPYFGPPVFBBI,O=S(=O)(c1ccccc1)c1ccccc1,1,0,332.08307799199997,333.09035445899997,C;N;O;S,Acedapsone,True,4,2,0,True,hilicpos,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,AMTPYFGPPVFBBI
PM0000020,Acedoben,Antiinflammatory and Immunomodulatory,immune stimulant (component),C9H9NO3,179.0582432,19266,CC(=O)NC1=CC=C(C=C1)C(=O)O,QCXJEYYXVJIFCE,QCXJEYYXVJIFCE,c1ccccc1,1,0,179.058243148,180.065519615,C;N;O,Acedoben,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,,,,
PM0000021,Acefylline,Antiinflammatory and Immunomodulatory,bronchodilator,C9H10N4O4,238.0702048,69550,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O,HCYFGRCYSCXKNQ,HCYFGRCYSCXKNQ,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,1,0,238.0702048,239.077481267,C;N;O,Acefylline,True,4,2,0,True,hilicpos,True,True,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,HCYFGRCYSCXKNQ
PM0000022,Aceglutamide,Central nervous system,nootropic,C7H12N2O4,188.0797069,182230,CC(=O)NC(CCC(=O)N)C(=O)O,KSMRODHGGIIXDV,KSMRODHGGIIXDV,__ACYCLIC__KSMRODHGGIIXDV,1,0,188.079706864,189.086983331,C;N;O,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000023,Acemetacin,Antiinflammatory and Immunomodulatory,Antiinflammatory,C21H18ClNO6,415.082265,1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,FSQKKOOTNAMONP,FSQKKOOTNAMONP,O=C(c1ccccc1)n1ccc2ccccc21,1,0,415.08226497599986,416.08954144299986,C;Cl;N;O,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,,,,
PM0000024,Aceneuramic acid,Antiinflammatory and Immunomodulatory,immunomodulator,C11H19NO9,309.106,445063,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O,SQVRNKJHWKZAKO,SQVRNKJHWKZAKO,C1CCOCC1,1,0,309.105981188,310.113257655,C;N;O,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000025,Acetaminophen,Antiinflammatory and Immunomodulatory,Antipyretic,C8H9NO2,151.0633285,1983,CC(=O)NC1=CC=C(C=C1)O,RZVAJINKPMORJF,RZVAJINKPMORJF,c1ccccc1,1,0,151.063328528,152.070604995,C;N;O,,False,0,0,0,True,c18pos;hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,,,,
PM0000026,Acetaminosalol,Antiinflammatory and Immunomodulatory,Antipyretic,C15H13NO4,271.0845,1984,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,TWIIVLKQFJBFPW,TWIIVLKQFJBFPW,O=C(Oc1ccccc1)c1ccccc1,1,0,271.084457896,272.091734363,C;N;O,Acetaminosalol,True,4,2,0,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,TWIIVLKQFJBFPW
PM0000027,Acetanilide,Antiinflammatory and Immunomodulatory,Antipyretic,C8H9NO,135.0684139,904,CC(=O)NC1=CC=CC=C1,FZERHIULMFGESH,FZERHIULMFGESH,c1ccccc1,1,0,135.068413908,136.075690375,C;N;O,Acetanilide,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,,,,
PM0000028,Acetarsol,Antimicrobial,Antiprotozoal,C8H10AsNO5,274.9774938,1985,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,ODFJOVXVLFUVNQ,ODFJOVXVLFUVNQ,c1ccccc1,1,0,274.97749392000003,275.984770387,As;C;N;O,Acetarsol,True,4,2,0,True,hilicpos,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,ODFJOVXVLFUVNQ
PM0000029,Acetazolamide,Cardiovascular,diuretic,C4H6N4O3S2,221.9881315,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,BZKPWHYZMXOIDC,BZKPWHYZMXOIDC,c1nncs1,1,0,221.988132052,222.995408519,C;N;O;S,,False,0,0,0,True,c18pos;hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,,,,
PM0000030,Acetic acid,Gastrointestinal,astrigent,C2H4O2,60.0211,176,CC(=O)O,QTBSBXVTEAMEQO,QTBSBXVTEAMEQO,__ACYCLIC__QTBSBXVTEAMEQO,1,0,60.021129368000004,61.028405835,C;O,,False,0,0,0,True,,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,QTBSBXVTEAMEQO
PM0000031,Acetophenazine,Central nervous system,Antipsychotic,C23H29N3O2S,411.198,17676,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)CCO,WNTYBHLDCKXEOT,WNTYBHLDCKXEOT,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,1,0,411.19804816800007,412.20532463500007,C;N;O;S,Acetophenazine,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000032,Acetyl-leucine,Others,Antivertigo,C8H15NO3,173.1051934,70912,CC(C)CC(C(=O)O)NC(=O)C,WXNXCEHXYPACJF,WXNXCEHXYPACJF,__ACYCLIC__WXNXCEHXYPACJF,1,0,173.10519334,174.112469807,C;N;O,,False,0,0,0,True,,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000033,Acetylcholine,Cardiovascular,vasodilator,C7H16NO2+,146.1175552,187,CC(=O)OCC[N+](C)(C)C,OIPILFWXSMYKGL,OIPILFWXSMYKGL,__ACYCLIC__OIPILFWXSMYKGL,1,1,146.11755517209,,C;N;O,,False,0,0,0,True,,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,OIPILFWXSMYKGL
PM0000034,Acetylcysteine,Respiratory,mucolytic,C5H9NO3S,163.0303139,12035,CC(=O)NC(CS)C(=O)O,PWKSKIMOESPYIA,PWKSKIMOESPYIA,__ACYCLIC__PWKSKIMOESPYIA,1,0,163.030314148,164.037590615,C;N;O;S,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000035,Acexamic acid,Others,wound healing agent,C8H15NO3,173.1051934,2005,CC(=O)NCCCCCC(=O)O,WDSCBUNMANHPFH,WDSCBUNMANHPFH,__ACYCLIC__WDSCBUNMANHPFH,1,0,173.10519334,174.112469807,C;N;O,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,,,,
PM0000036,Acipimox,Endocrine and metabolic,Antilipemic,C6H6N2O3,154.0378,5310993,CC1=CN=C(C=[N+]1[O-])C(=O)O,DJQOOSBJCLSSEY,DJQOOSBJCLSSEY,c1c[nH+]ccn1,1,0,154.037842052,155.045118519,C;N;O,Acipimox,True,4,2,0,True,hilicpos,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,DJQOOSBJCLSSEY
PM0000037,Actarit,Antiinflammatory and Immunomodulatory,Antiarthritic,C10H11NO3,193.0738932,2018,CC(=O)NC1=CC=C(C=C1)CC(=O)O,MROJXXOCABQVEF,MROJXXOCABQVEF,c1ccccc1,1,0,193.073893212,194.081169679,C;N;O,Actarit,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,True,False,,,,
PM0000038,Acyclovir,Antimicrobial,Anti-viral,C8H11N5O3,225.0861892,2022,C1=NC2=C(N1COCCO)NC(=NC2=O)N,MKUXAQIIEYXACX,MKUXAQIIEYXACX,O=c1nc[nH]c2[nH]cnc12,1,0,225.086189212,226.093465679,C;N;O,Acyclovir,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,,,,
PM0000039,Adapalene,Antiinflammatory and Immunomodulatory,Anti-acne,C28H28O3,412.2038448,60164,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,LZCDAPDGXCYOEH,LZCDAPDGXCYOEH,c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1,1,0,412.20384475599997,413.21112122299996,C;O,Adapalene,True,4,2,0,True,,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,LZCDAPDGXCYOEH
PM0000040,Adefovir dipivoxyl,Antimicrobial,Anti-viral,C20H32N5O8P,501.1988495,60871,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,WOZSCQDILHKSGG,WOZSCQDILHKSGG,c1ncc2nc[nH]c2n1,1,0,501.198849614,502.206126081,C;N;O;P,,False,0,0,0,True,hilicpos,True,True,True,True,False,False,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000041,Adelmidrol,Antiinflammatory and Immunomodulatory,Antiinflammatory,C13H26N2O4,274.1892573,176874,C(CCCC(=O)NCCO)CCCC(=O)NCCO,PAHZPHDAJQIETD,PAHZPHDAJQIETD,__ACYCLIC__PAHZPHDAJQIETD,1,0,274.189257312,275.196533779,C;N;O,Adelmidrol,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000042,Adenosine,Cardiovascular,Anti-arrhythmic,C10H13N5O4,267.0967539,60961,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,OIRDTQYFTABQOQ,OIRDTQYFTABQOQ,c1ncc2ncn(C3CCCO3)c2n1,1,0,267.096753896,268.104030363,C;N;O,,False,0,0,0,True,,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,,,,
PM0000043,Adiphenine,Musculoskeletal,muscle relaxant (smooth),C20H25NO2,311.1885291,2031,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,JGOAIQNSOGZNBX,JGOAIQNSOGZNBX,c1ccc(Cc2ccccc2)cc1,1,0,311.18852904000005,312.19580550700005,C;N;O,Adiphenine,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,,,,
PM0000044,Adrenalone,Others,adrenergic (opthalmic),C9H11NO3,181.0738932,7436,CNCC(=O)C1=CC(=C(C=C1)O)O,PZMVOUYYNKPMSI,PZMVOUYYNKPMSI,c1ccccc1,1,0,181.073893212,182.081169679,C;N;O,,False,0,0,0,True,hilicpos,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,PZMVOUYYNKPMSI
PM0000045,Afalanine,Central nervous system,Antidepressant,C11H13NO3,207.0895433,2000,CC(=O)NC(CC1=CC=CC=C1)C(=O)O,CBQJSKKFNMDLON,CBQJSKKFNMDLON,c1ccccc1,1,0,207.089543276,208.096819743,C;N;O,Afalanine,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,,,,
PM0000046,Ajmaline,Cardiovascular,Anti-arrhythmic,C20H26N2O2,326.1994281,6100671,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,CJDRUOGAGYHKKD,CJDRUOGAGYHKKD,c1ccc2c(c1)NC1C3CC4CCN3C3CC21CC43,1,0,326.19942807200005,327.20670453900004,C;N;O,Ajmaline,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000047,Aklomide,Antimicrobial,Antiprotozoal,C7H5ClN2O3,199.9989,2075,C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)N,GFGSZUNNBQXGMK,GFGSZUNNBQXGMK,c1ccccc1,1,0,199.9988697,201.006146167,C;Cl;N;O,Aklomide,True,4,2,0,True,,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,GFGSZUNNBQXGMK
PM0000048,Albendazole,Antimicrobial,anthelmintic,C12H15N3O2S,265.0884974,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,HXHWSAZORRCQMX,HXHWSAZORRCQMX,c1ccc2[nH]cnc2c1,1,0,265.08849772,266.095774187,C;N;O;S,Albendazole,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,,,,
PM0000050,Alfuzosin,Endocrine and metabolic,alpha(1)-adrenergic blocker,C19H27N5O4,389.2063044,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,WNMJYKCGWZFFKR,WNMJYKCGWZFFKR,O=C(NCCCNc1ncc2ccccc2n1)C1CCCO1,1,0,389.206304344,390.213580811,C;N;O,Alfuzosin,True,4,2,0,True,,False,False,True,True,False,False,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000051,Aliskiren,Cardiovascular,renin inhibitor,C30H53N3O6,551.3934364,5493444,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,UXOWGYHJODZGMF,UXOWGYHJODZGMF,c1ccccc1,1,0,551.393436416,552.400712883,C;N;O,Aliskiren,True,4,2,0,True,hilicpos,True,True,True,True,False,False,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,,,,
PM0000052,Allopurinol,Endocrine and metabolic,Antihyperuricemia,C5H4N4O,136.0385108,2094,C1=C2C(=NC=NC2=O)NN1,OFCNXPDARWKPPY,OFCNXPDARWKPPY,O=c1ncnc2[nH][nH]cc1-2,1,0,136.038510748,137.045787215,C;N;O,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,False,False,,,,
PM0000053,Allylestrenol,Endocrine and metabolic,progestogen,C21H32O,300.2453156,235905,CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34,ATXHVCQZZJYMCF,ATXHVCQZZJYMCF,C1=C2CCC3C4CCCC4CCC3C2CCC1,1,0,300.245315644,301.252592111,C;O,Allylestrenol,True,4,2,0,True,,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,ATXHVCQZZJYMCF
PM0000054,Alogliptin,Endocrine and metabolic,Anti-diabetic,C18H21N5O2,339.1695249,11450633,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N,ZSBOMTDTBDDKMP,ZSBOMTDTBDDKMP,O=c1cc(N2CCCCC2)n(Cc2ccccc2)c(=O)[nH]1,1,0,339.16952491200004,340.17680137900004,C;N;O,Alogliptin,True,4,2,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,,,,
PM0000055,Alprenolol,Cardiovascular,betaadrenergic blocker,C15H23NO2,249.172879,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,PAZJSJFMUHDSTF,PAZJSJFMUHDSTF,c1ccccc1,1,0,249.172878976,250.180155443,C;N;O,,False,0,0,0,True,hilicpos,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,,,,
PM0000056,Alrestatin,Others,aldose reductase inhibitor,C14H9NO4,255.0531578,2120,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CC(=O)O,GCUCIFQCGJIRNT,GCUCIFQCGJIRNT,O=C1NC(=O)c2cccc3cccc1c23,1,0,255.053157768,256.060434235,C;N;O,,False,0,0,0,True,hilicpos,True,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,True,True,True,False,GCUCIFQCGJIRNT
