bin_start,n_keys,frac_in_msnlib_v1,MCEBIO,MCEBIO;MCESCAF,MCEBIO;MCESCAF;NIHNP,MCEBIO;NIHNP,MCEBIO;OTAVAPEP,MCESCAF,MCESCAF;NIHNP,MCESCAF;OTAVAPEP,NIHNP,NOT_IN_MSNLIB_V1,OTAVAPEP
212000,666,1.0,0,2,0,0,0,664,0,0,0,0,0
214000,646,1.0,0,19,0,0,0,540,0,0,0,0,87
216000,658,1.0,0,0,0,0,0,0,0,0,0,0,658
218000,423,1.0,108,0,0,0,1,0,0,0,0,0,314
220000,401,1.0,401,0,0,0,0,0,0,0,0,0,0
222000,464,1.0,463,1,0,0,0,0,0,0,0,0,0
224000,575,1.0,575,0,0,0,0,0,0,0,0,0,0
226000,516,0.998062015503876,515,0,0,0,0,0,0,0,0,1,0
228000,522,1.0,522,0,0,0,0,0,0,0,0,0,0
230000,535,1.0,535,0,0,0,0,0,0,0,0,0,0
232000,454,1.0,454,0,0,0,0,0,0,0,0,0,0
234000,436,1.0,436,0,0,0,0,0,0,0,0,0,0
236000,479,1.0,479,0,0,0,0,0,0,0,0,0,0
238000,478,0.5355648535564854,256,0,0,0,0,0,0,0,0,222,0
240000,499,0.0,0,0,0,0,0,0,0,0,0,499,0
242000,455,0.00439560439560438,2,0,0,0,0,0,0,0,0,453,0
244000,464,0.008620689655172376,3,0,0,0,0,0,0,0,0,460,1
246000,331,0.02114803625377648,5,0,0,2,0,0,0,0,0,324,0
248000,431,0.04176334106728541,14,0,0,0,0,0,0,0,0,413,4
250000,524,0.028625954198473247,13,0,0,1,0,0,0,0,0,509,1
252000,158,0.10126582278481011,15,0,0,1,0,0,0,0,0,142,0
254000,3,0.33333333333333337,1,0,0,0,0,0,0,0,0,2,0
256000,1,0.0,0,0,0,0,0,0,0,0,0,1,0
258000,2,0.5,1,0,0,0,0,0,0,0,0,1,0
260000,1,1.0,1,0,0,0,0,0,0,0,0,0,0
264000,3,1.0,3,0,0,0,0,0,0,0,0,0,0
266000,8,0.125,1,0,0,0,0,0,0,0,0,7,0
268000,16,0.125,2,0,0,0,0,0,0,0,0,14,0
270000,17,0.0,0,0,0,0,0,0,0,0,0,17,0
272000,14,0.2142857142857143,2,0,0,0,0,0,0,0,1,11,0
274000,10,0.4,4,0,0,0,0,0,0,0,0,6,0
276000,12,0.25,1,0,0,1,0,0,0,0,1,9,0
278000,6,0.5,3,0,0,0,0,0,0,0,0,3,0
280000,15,0.19999999999999996,3,0,0,0,0,0,0,0,0,12,0
282000,10,0.30000000000000004,3,0,0,0,0,0,0,0,0,7,0
284000,9,0.33333333333333337,1,0,0,1,0,0,0,0,1,6,0
286000,9,0.11111111111111116,1,0,0,0,0,0,0,0,0,8,0
288000,6,0.6666666666666667,0,0,0,0,0,0,0,0,4,2,0
290000,10,0.4,1,0,1,0,0,0,0,0,2,6,0
292000,14,0.3571428571428571,5,0,0,0,0,0,0,0,0,9,0
294000,18,0.38888888888888884,6,0,0,1,0,0,0,0,0,11,0
296000,13,0.6153846153846154,6,0,0,2,0,0,0,0,0,5,0
298000,15,0.19999999999999996,3,0,0,0,0,0,0,0,0,12,0
300000,14,0.2857142857142857,4,0,0,0,0,0,0,0,0,10,0
302000,17,0.2941176470588235,4,0,0,1,0,0,0,0,0,12,0
304000,16,0.1875,3,0,0,0,0,0,0,0,0,13,0
306000,9,0.2222222222222222,1,0,0,0,0,0,0,0,1,7,0
308000,13,0.3846153846153846,5,0,0,0,0,0,0,0,0,8,0
310000,17,0.17647058823529416,3,0,0,0,0,0,0,0,0,14,0
312000,10,0.19999999999999996,1,0,0,1,0,0,0,0,0,8,0
314000,12,0.08333333333333337,1,0,0,0,0,0,0,0,0,11,0
316000,11,0.0,0,0,0,0,0,0,0,0,0,11,0
318000,11,0.36363636363636365,2,0,0,1,0,0,0,0,1,7,0
320000,14,0.1428571428571429,2,0,0,0,0,0,0,0,0,12,0
322000,28,0.0357142857142857,0,0,0,0,0,0,0,0,1,27,0
324000,30,0.033333333333333326,0,0,0,0,0,0,0,0,1,29,0
326000,27,0.03703703703703709,1,0,0,0,0,0,0,0,0,26,0
328000,39,0.0,0,0,0,0,0,0,0,0,0,39,0
330000,35,0.05714285714285716,2,0,0,0,0,0,0,0,0,33,0
332000,26,0.1923076923076923,5,0,0,0,0,0,0,0,0,21,0
334000,27,0.2592592592592593,7,0,0,0,0,0,0,0,0,20,0
336000,16,0.375,5,0,0,0,0,0,0,0,1,10,0
338000,23,0.30434782608695654,4,0,0,0,0,0,0,0,3,16,0
340000,25,0.28,7,0,0,0,0,0,0,0,0,18,0
342000,28,0.25,7,0,0,0,0,0,0,0,0,21,0
344000,22,0.40909090909090906,6,0,0,2,0,0,0,0,1,13,0
346000,18,0.2777777777777778,4,0,0,1,0,0,0,0,0,13,0
348000,21,0.19047619047619047,3,0,0,1,0,0,0,0,0,17,0
350000,44,0.25,8,0,0,1,0,0,0,0,2,33,0
352000,41,0.31707317073170727,11,0,0,0,0,0,0,0,2,28,0
354000,24,0.25,6,0,0,0,0,0,0,0,0,18,0
356000,33,0.1515151515151515,5,0,0,0,0,0,0,0,0,28,0
358000,20,0.19999999999999996,3,0,0,1,0,0,0,0,0,16,0
360000,14,0.2142857142857143,3,0,0,0,0,0,0,0,0,11,0
362000,28,0.1428571428571429,2,0,0,1,0,0,0,0,1,24,0
364000,27,0.11111111111111116,1,0,0,1,0,0,0,0,1,24,0
366000,32,0.0,0,0,0,0,0,0,0,0,0,32,0
368000,32,0.0,0,0,0,0,0,0,0,0,0,32,0
370000,32,0.0,0,0,0,0,0,0,0,0,0,32,0
372000,30,0.0,0,0,0,0,0,0,0,0,0,30,0
374000,33,0.0,0,0,0,0,0,0,0,0,0,33,0
376000,30,0.0,0,0,0,0,0,0,0,0,0,30,0
378000,34,0.0,0,0,0,0,0,0,0,0,0,34,0
380000,33,0.0,0,0,0,0,0,0,0,0,0,33,0
382000,31,0.032258064516129004,1,0,0,0,0,0,0,0,0,30,0
384000,36,0.02777777777777779,1,0,0,0,0,0,0,0,0,35,0
386000,32,0.0,0,0,0,0,0,0,0,0,0,32,0
388000,41,0.0,0,0,0,0,0,0,0,0,0,41,0
390000,605,0.0016528925619834212,1,0,0,0,0,0,0,0,0,604,0
392000,1045,0.00191387559808609,2,0,0,0,0,0,0,0,0,1043,0
394000,111,0.027027027027026973,3,0,0,0,0,0,0,0,0,108,0
396000,1104,0.01449275362318836,13,0,0,0,0,0,0,0,3,1088,0
398000,1290,0.032558139534883734,40,0,0,0,0,0,0,0,1,1248,1
400000,321,0.0809968847352025,23,0,0,1,0,0,0,0,2,295,0
402000,212,0.028301886792452824,5,0,0,0,0,0,0,0,1,206,0
404000,22,0.0,0,0,0,0,0,0,0,0,0,22,0
406000,24,0.0,0,0,0,0,0,0,0,0,0,24,0
408000,32,0.0,0,0,0,0,0,0,0,0,0,32,0
410000,76,0.0,0,0,0,0,0,0,0,0,0,76,0
412000,94,0.0,0,0,0,0,0,0,0,0,0,94,0
414000,31,0.0,0,0,0,0,0,0,0,0,0,31,0
