group_key,scaffold_group,split,source
CIEXPHRYOLIQQD,O=C(Nc1ccccc1)c1ccco1,test,WUR
CIFWZNRJIBNXRE,c1ccc(Nc2ncccn2)cc1,train,WUR
CIGKZVUEZXGYSV,c1ccccc1,train,WUR
CJHXCRMKMMBYJQ,c1cncnc1,train,WUR
CJIASZBWXIFQMU,C=C1NC(=O)CCCNC(=O)C[C@H](/C=C/C=C/CCCc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CCNC(=O)CNC(=O)CNC1=O,train,WUR
CJJOSEISRRTUQB,O=c1[nH]nnc2ccccc12,valid,WUR
CJPQIRJHIZUAQP,O=C(Cc1ccccc1)Nc1ccccc1,train,WUR
CLSJYOLYMZNKJB,c1ccc2[nH]cnc2c1,train,WUR
CMGDVUCDZOBDNL,c1ccc2[nH]nnc2c1,valid,WUR
CMWTZPSULFXXJA,c1ccc2ccccc2c1,train,WUR
COYBRKAVBMYYSF,c1ccc2ncccc2c1,train,WUR
CPEUVMUXAHMANV,O=C(c1ccccc1)c1ccc2nc[nH]c2c1,test,WUR
CQIUKKVOEOPUDV,O=C1C=CC2=COCCC2=C1,valid,WUR
CSMYCLLHRFFFLG,N=C(Cc1c[nH]c2ccccc12)S[C@H]1CCCCO1,train,WUR
CSWIKHNSBZVWNQ,c1ccccc1,train,WUR
CULUKMPMGVXCEI,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,valid,WUR
CXJSOEPQXUCJSA,O=c1cccnn1-c1ccccc1,valid,WUR
DBXFMOWZRXXBRN,c1ccccc1,train,WUR
DCOPUUMXTXDBNB,c1ccc(Nc2ccccc2)cc1,train,WUR
DIRFUJHNVNOBMY,c1ccccc1,train,WUR
DKNWSYNQZKUICI,C1C2CC3CC1CC(C2)C3,test,WUR
DKYWVDODHFEZIM,O=C(c1ccccc1)c1ccccc1,train,WUR
DLAPIMGBBDILHJ,c1ccccc1,train,WUR
DMBHHRLKUKUOEG,c1ccc(Nc2ccccc2)cc1,train,WUR
DMJNNHOOLUXYBV,O=C1C[C@H]2CC(S[C@H]3CCNC3)=CN12,valid,WUR
DNDNWOWHUWNBCK,N=C(Cc1c[nH]c2ccccc12)S[C@H]1CCCCO1,train,WUR
DOIRQSBPFJWKBE,c1ccccc1,train,WUR
DOLQYFPDPKPQSS,c1ccccc1,train,WUR
DPJCXCZTLWNFOH,c1ccccc1,train,WUR
DQFPEYARZIQXRM,O=C1C=CCC(c2ccccc2)C1,test,WUR
DSKJPMWIHSOYEA,c1cncnc1,train,WUR
DSRNRYQBBJQVCW,c1ccccc1,train,WUR
DTAPQAJKAFRNJB,c1ccccc1,train,WUR
DTDSAWVUFPGDMX,O=C1OC2(C=C1c1ccccc1)CCCCC2,test,WUR
DTHPMNDYKOSVFR,c1c[nH]cn1,train,WUR
DTRCGMNODLDAAK,C=C1CCCC2=NCCCC[C@@]23CCC([C@@H]2C=CC(=O)O2)=C[C@@H]3/C=C/CC[C@@H]2CC[C@@]3(CCC[C@]4(CCC[C@@H](C1)O4)O3)O2,train,WUR
DUFVKSUJRWYZQP,O=C1NCCS1,test,WUR
DUOHVNSMLSPTMI,c1c[nH]cn1,train,WUR
DVOODWOZJVJKQR,O=c1ocnn1-c1ccccc1,valid,WUR
DVXZVCNEGRKLMW,O=C1C=C[C@@H](C2=C[C@@H]3C=CCCC[C@@H]4CC[C@H](/C=C/CCC5=NCCC[C@@]53CC2)O4)O1,test,WUR
DWFZBUWUXWZWKD,O=c1cc(SCc2ccccc2)cn[nH]1,train,WUR
DWRKFAJEBUWTQM,c1ccc(C2(Cn3cncn3)OCCO2)cc1,train,WUR
DWSPRBSLSXQIEJ,O=C(c1ccccc1)c1cn[nH]c1,train,WUR
DXGLGDHPHMLXJC,O=C(c1ccccc1)c1ccccc1,train,WUR
DZUPKTNAUCDVTL,c1ccccc1,train,WUR
FBOUIAKEJMZPQG,C(=C\n1cncn1)/c1ccccc1,train,WUR
FCOAHACKGGIURQ,c1ccccc1,train,WUR
FFGPTBGBLSHEPO,C1=Cc2ccccc2Nc2ccccc21,test,WUR
FFSSWMQPCJRCRV,c1ccc2ncccc2c1,train,WUR
FHIVAFMUCKRCQO,c1cncnc1,train,WUR
FIQMHBFVRAXMOP,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,train,WUR
FKNXQNWAXFXVNW,O=c1ccc2ccccc2[nH]1,test,WUR
FLEFKKUZMDEUIP,c1ccc(C2CC(c3ccc4c(c3)COC43CNC3)=NO2)cc1,train,WUR
FMGZEUWROYGLAY,O=C(Nc1ncccn1)NS(=O)(=O)c1ccn[nH]1,valid,WUR
FMJYNECHJIZSCE,c1cncnc1,train,WUR
FNCMBMZOZQAWJA,c1ccccc1,train,WUR
FOXFZRUHNHCZPX,O=c1cnnc[nH]1,test,WUR
FQKUGOMFVDPBIZ,c1ccc([SiH](Cn2cncn2)c2ccccc2)cc1,test,WUR
FQVNMXZPGWLUFZ,O=C(/C=C/c1ccccc1)OC[C@@H]1CCN2CCC[C@H]12,train,WUR
FQXXSQDCDRQNQE,C1=C[C@@H]2Oc3cccc4c3[C@@]23CCN[C@H](C4)C3=C1,train,WUR
FSAVDKDHPDSCTO,c1ccccc1,train,WUR
FSVJFNAIGNNGKK,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,train,WUR
GBAWQJNHVWMTLU,C1=CC2C=CC2C1,valid,WUR
GDDNFNQRHNCJAZ,C=C1CCCC(=O)OCC2=CC[NH+]3CC[C@H](OC1=O)[C@H]23,test,WUR
GECHUMIMRBOMGK,O=S(=O)(Nc1ccccn1)c1ccccc1,test,WUR
GEPDYQSQVLXLEU,__ACYCLIC__GEPDYQSQVLXLEU,train,WUR
GGRWZBVSUZZMKS,O=C1C[NH+]=C(c2ccccc2)c2ccccc2N1,test,WUR
GLTMLPGXPMAIOI,O=C(Nc1ccccc1-c1ccccc1)c1cccnc1,train,WUR
GNTVZNNILZKEIB,c1ccccc1,train,WUR
GONRXGWUUBPRKF,c1ccc(Cc2ccc3nc[nH]c3c2)cc1,train,WUR
GPMHHSJZGVOEFS,O=C(c1ccccc1)c1ccc2nc[nH]c2c1,test,WUR
GSLOLTKGVZFNKZ,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,train,WUR
GTKRZJVAXAQBMB,c1cncnc1,train,WUR
GTZCKTIZOGTWQO,c1ccccc1,train,WUR
GVGYEFKIHJTNQZ,O=C(O[C@@H]1C[C@H]2CC[C@@H](C1)N2)c1ccccc1,test,WUR
GYSCAQFHASJXRS,O=C1COC(=O)[C@H](Cc2ccccc2)NC(=O)COC(=O)[C@H](Cc2ccccc2)NC(=O)COC(=O)[C@H](Cc2ccccc2)N1,train,WUR
GYSSRZJIHXQEHQ,O=C(Nc1ccccc1)C1=COCCS1,test,WUR
GZVHEAJQGPRDLQ,c1ccc(-c2ncncn2)cc1,test,WUR
HAORKNGNJCEJBX,c1ccc(Nc2nccc(C3CC3)n2)cc1,valid,WUR
HBPDKDSFLXWOAE,c1nncs1,train,WUR
HDDSHPAODJUKPD,c1ccc(Sc2ccc3[nH]cnc3c2)cc1,test,WUR
HDHLIWCXDDZUFH,c1ncnc(NC2CC2)n1,valid,WUR
HDOVUKNUBWVHOX,O=c1nc[nH]c2[nH]cnc12,valid,WUR
HDVAWXXJVMJBAR,C1CCN2CCCCC2C1,test,WUR
HEZNVIYQEUHLNI,c1ccccc1,train,WUR
HJJPJSXJAXAIPN,C1=CCNCC1,train,WUR
HLFSDGLLUJUHTE,c1ccc([C@H]2CN3CCSC3=N2)cc1,valid,WUR
HPDHKHMHQGCNPE,C=C1CCCC(=O)OCC2=CCNCC[C@H](OC1=O)C2=O,valid,WUR
HRKAMJBPFPHCSD,__ACYCLIC__HRKAMJBPFPHCSD,train,WUR
HSMVPDGQOIQYSR,C(=Nc1ccccc1)n1ccnc1,train,WUR
HTJGLYIJVSDQAE,C1CCN2CCC[C@@H]2C1,train,WUR
HXHWSAZORRCQMX,c1ccc2[nH]cnc2c1,train,WUR
HYYBABOKPJLUIN,c1ccc(Nc2ccccc2)cc1,train,WUR
HZJKXKUJVSEEFU,c1ccc(CCn2cncn2)cc1,train,WUR
IAKHMKGGTNLKSZ,O=c1cccc2c(c1)CCCc1ccccc1-2,train,WUR
IANUJLZYFUDJIH,O=C(COc1nncs1)Nc1ccccc1,valid,WUR
IBXPYPUJPLLOIN,c1c[nH]cn1,train,WUR
IDIMIWQPUHURPV,C=C1CCCC(=O)OCC2=CC[NH+]3CC[C@H](OC1=O)[C@H]23,test,WUR
IEDVJHCEMCRBQM,c1ccc(Cc2cncnc2)cc1,test,WUR
IFOLNWVBRSCJOJ,O=c1cc[nH]cn1,train,WUR
IIAGSABLXRZUSE,N=C(Cc1c[nH]c2ccccc12)S[C@H]1CCCCO1,train,WUR
IIBYAHWJQTYFKB,O=C(NCCc1ccccc1)c1ccccc1,test,WUR
IIMUEPCADBPEMF,__ACYCLIC__IIMUEPCADBPEMF,valid,WUR
IIQKUGXEGMZCLE,c1ccc(Cc2ccc3nc[nH]c3c2)cc1,train,WUR
IKVXBIIHQGXQRQ,O=C(Nc1ccccc1)c1ccccc1,train,WUR
INFDPOAKFNIJBF,c1cc(-c2cc[nH+]cc2)cc[nH+]1,test,WUR
IOPTXXRNXCPJGO,c1ccccc1,train,WUR
IPRJXAGUEGOFGG,c1ccccc1,train,WUR
IRIAEXORFWYRCZ,O=C(OCc1ccccc1)c1ccccc1,valid,WUR
IRSCQMHQWWYFCW,O=c1[nH]cnc2[nH]cnc12,valid,WUR
ISRUGXGCCGIOQO,c1ccccc1,train,WUR
ISZQNKFXNXQTTF,C(=NOCc1ccccc1)c1ccccc1,train,WUR
ITYMTTQVNYAJAA,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,train,WUR
IUBSYMUCCVWXPE,c1ccccc1,train,WUR
IXBQSRWSVIBXNC,C=C1NC(=O)CCCNC(=O)C[C@H](/C=C/C=C/CCCc2ccccc2)NC(=O)CNC(=O)CCNC1=O,test,WUR
IXSZQYVWNJNRAL,c1ccc(C2=NC(c3ccccc3)CO2)cc1,valid,WUR
IZFZCMFMJKDHJZ,N=C1SC(=Nc2ccccc2)N(c2ccccc2)C1=N,train,WUR
IZXSCPRWPYQTJH,C=C1CCCC(=O)OC[C@H]2CC[NH+]3CC[C@@H](OC1=O)[C@@H]23,valid,WUR
JALVTHFTYRPDMB,C1CC[C@@H]2CC[C@@H]3[C@H](CCC4[C@H]3C[C@H]3[C@@H]4C[C@H]4CCCCN43)C2C1,valid,WUR
JEJREKXHLFEVHN,O=C(Cc1ccccc1)O[C@H]1C[C@@H]2N[C@H](C1)[C@H]1O[C@H]12,test,WUR
JHSPCUHPSIUQRB,c1ccccc1,train,WUR
JIIOLEGNERQDIP,c1ccccc1,train,WUR
JJCFRYNCJDLXIK,C1=Cc2ccccc2C(=C2CCNCC2)c2ccccc21,valid,WUR
JLYFCTQDENRSOL,c1ccsc1,train,WUR
JNMRHUJNCSQMMB,O=S(=O)(Nc1nccs1)c1ccccc1,train,WUR
JNTOCHDNEULJHD,O=c1nc[nH]c2[nH]cnc12,valid,WUR
JOFDPSBOUCXJCC,c1ccccc1,train,WUR
JRRUSQGIRBEMRN,O=c1cccc2c(c1)CCCc1ccccc1-2,train,WUR
JSJCTEKTBOKRST,c1ccccc1,train,WUR
JTMLMJOBCBXFES,O=C(NCCOc1ccccc1)c1ccccc1,train,WUR
JWUCHKBSVLQQCO,c1ccc(C(Cn2cncn2)c2ccccc2)cc1,test,WUR
JWZZKOKVBUJMES,c1ccccc1,train,WUR
JXCGFZXSOMJFOA,c1ccccc1,train,WUR
JXHJNEJVUNHLKO,c1ccccc1,train,WUR
JXUDZCJTCKCTQK,c1ccccc1,train,WUR
JYIJIIVLEOETIQ,O=C1CCC[C@@H]2[C@H]3C[C@@H](CN12)[C@H]1CCCCN1C3,train,WUR
JZCPYUJPEARBJL,O=C(NN1CCCCC1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,test,WUR
KCFYEAOKVJSACF,c1ccc(SCc2cc3ccccc3[nH]2)cc1,train,WUR
KDLRVYVGXIQJDK,O=C(NC[C@@H]1CCCCO1)[C@@H]1CCCN1,valid,WUR
KEMXXQOFIRIICG,c1ccccc1,train,WUR
KGNGTSCIQCLKEH,N=c1ncc(O[C@H]2CCCCO2)c[nH]1,test,WUR
KGOIKOVSEVRHNH,c1ccccc1,train,WUR
KGXUEPOHGFWQKF,C(/Sc1ccccc1)=C1/SCCN1c1ccccc1,test,WUR
KIDWGGCIROEJJW,__ACYCLIC__KIDWGGCIROEJJW,valid,WUR
KIEDNEWSYUYDSN,O=C1CCON1Cc1ccccc1,valid,WUR
KJFMBFZCATUALV,O=C1OC(c2ccccc2)(c2ccccc2)c2ccccc21,train,WUR
KMYKHQRQBUANHP,C=C1CCCC2=NCCCC[C@@]23CCC([C@@H]2CCC(=O)O2)=C[C@@H]3[C@@H]2O[C@@]3(CCC[C@H]2O3)C[C@H]2CCC[C@@]3(CC[C@]4(CCC[C@@H](C1)O4)O3)O2,train,WUR
KUBCEEMXQZUPDQ,c1ccccc1,train,WUR
KUBUBYBFFRVFHD,c1ccccc1,train,WUR
KULDXINYXFTXMO,O=c1ccc2ccccc2o1,train,WUR
KUMXVBFFVVLQFX,N=C1NC[C@@H]2N=CN[C@@]23CCCN13,train,WUR
KVDJTXBXMWJJEF,O=C(NCCc1ccccn1)c1ccccc1,test,WUR
KWAPEXIWYNEGAV,c1ccccc1,train,WUR
KWGRBVOPPLSCSI,c1ccccc1,train,WUR
KWVISVAMQJWJSZ,C1=C2CCCCC2[C@H]2CCC3[C@@H](C[C@@H]4O[C@]5(CCCCN5)C[C@H]34)[C@@H]2C1,valid,WUR
KXGYBSNVFXBPNO,c1ccccc1,train,WUR
KYGZCKSPAKDVKC,O=c1cc[nH]c2cc3c(cc12)OCO3,valid,WUR
LBGPXIPGGRQBJW,c1ccc(-c2cc(-c3ccccc3)[nH+][nH]2)cc1,test,WUR
LCOVYWIXMAJCDS,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,train,WUR
LESVOLZBIFDZGS,__ACYCLIC__LESVOLZBIFDZGS,valid,WUR
LFULEKSKNZEWOE,c1ccccc1,train,WUR
LKJPSUCKSLORMF,c1ccccc1,train,WUR
LLYYNOVSVPBRGV,O=C1CC[C@]23CCCCCC(CCC2)[C@H]13,valid,WUR
LMOINURANNBYCM,c1ccccc1,train,WUR
LNJNFVJKDJYTEU,c1ccccc1,train,WUR
LNOOSYCKMKZOJB,c1ccccc1,train,WUR
LPEPZBJOKDYZAD,c1ccc(Nc2ccccc2)cc1,train,WUR
LQDARGUHUSPFNL,c1ccc(CCn2cncn2)cc1,train,WUR
LQOLIRLGBULYKD,O=C(N[C@@H]1C(=O)N2CCS[C@H]12)c1conc1-c1ccccc1,test,WUR
LRUDIIUSNGCQKF,c1ccc2[nH]nnc2c1,valid,WUR
LUQMWGMGWJEGAT,c1ccccc1,train,WUR
LVNYJXIBJFXIRZ,c1ccccc1,train,WUR
LVQDKIWDGQRHTE,c1ncnc(NC2CC2)n1,valid,WUR
LVXYAFNPMXCRJI,c1ccc(CCCCN2CCN(c3ccccn3)CC2)cc1,train,WUR
MBMQEIFVQACCCH,O=C1CCC/C=C/c2ccccc2C(=O)OCCCC1,valid,WUR
MCJGNVYPOGVAJF,c1ccc2ncccc2c1,train,WUR
METKIMKYRPQLGS,c1ccccc1,train,WUR
MFOUDYKPLGXPGO,c1ccccc1,train,WUR
MIZMDSVSLSIMSC,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,train,WUR
MKUXAQIIEYXACX,O=c1nc[nH]c2[nH]cnc12,valid,WUR
MLBZKOGAMRTSKP,c1ccc(C2=NOC(c3ccccc3)C2)cc1,valid,WUR
MLKCGVHIFJBRCD,O=c1[nH]cnn1-c1ccccc1,train,WUR
MMOXZBCLCQITDF,c1ccccc1,train,WUR
MOUVJGIRLPZEES,c1ccccc1,train,WUR
MPNJTIZLDHWBFX,c1ccccc1,train,WUR
MXMXHPPIGKYTAR,c1ccsc1,train,WUR
NBMKJKDGKREAPL,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,train,WUR
NDAUXUAQIAJITI,c1ccccc1,train,WUR
NDNUANOUGZGEPO,C1CCNCC1,test,WUR
NHDHVHZZCFYRSB,c1ccc(Oc2ccc(OCCOc3ccccn3)cc2)cc1,train,WUR
NHOWDZOIZKMVAI,c1ccc(C(c2ccccc2)c2cncnc2)cc1,train,WUR
NHUHCSRWZMLRLA,O=S(=O)(Nc1ccno1)c1ccccc1,test,WUR
NHZLNPMOSADWGC,O=S(=O)(Nc1cnc2ccccc2n1)c1ccccc1,valid,WUR
NJKDOADNQSYQEV,c1ccccc1,train,WUR
NKRQJWQYBNTAEV,O=C1CCC[C@]2(CO2)C(=O)O[C@@H]2CC[NH+]3CC=C(CO1)[C@H]23,valid,WUR
NLYNUTMZTCLNOO,c1ccccc1,train,WUR
NNCAWEWCFVZOGF,C1CC[NH2+]CC1,train,WUR
NNJVILVZKWQKPM,c1ccccc1,train,WUR
NNKVPIKMPCQWCG,__ACYCLIC__NNKVPIKMPCQWCG,train,WUR
NOCJXYPHIIZEHN,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,valid,WUR
NPAGDVCDWIYMMC,O=C1C=C2CC[C@@H]3[C@H](CCC4CCC[C@H]43)[C@H]2CC1,valid,WUR
NPECRXRQVYMQGY,c1ccccc1,train,WUR
NQCPECCCWDWTJJ,O=c1cc[nH]cn1,train,WUR
NQLVQOSNDJXLKG,c1ccccc1,train,WUR
NQSMEZJWJJVYOI,O=C(c1ccccc1)c1ccccc1,train,WUR
NRZWQKGABZFFKE,__ACYCLIC__NRZWQKGABZFFKE,valid,WUR
NTAFJUSDNOSFFY,c1c[nH]cn1,train,WUR
NUPJIGQFXCQJBK,O=C1CN=C(c2ccccn2)N1,test,WUR
NVEPPWDVLBMNMB,C(=C\c1cccs1)/C1=NCCCN1,train,WUR
NVGOPFQZYCNLDU,O=c1cccnn1-c1ccccc1,valid,WUR
NVKAWKQGWWIWPM,O=C1CCC2[C@H](CC[C@H]3[C@@H]4CCCC4CC[C@H]23)C1,train,WUR
NWBJYWHLCVSVIJ,c1ccc(CNc2[nH]cnc3ncnc2-3)cc1,train,WUR
NWUWYYSKZYIQAE,c1ccccc1,train,WUR
NXQDBZGWYSEGFL,c1ccccc1,train,WUR
NYPJDWWKZLNGGM,O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1,train,WUR
NYRMIJKDBAQCHC,O=C1C(c2ccccc2)=COC1c1ccccc1,test,WUR
NZCRJKRKKOLAOJ,O=C1/C=C\C=C\CCCCCCCC/C=C/OC2Oc3ccc4cc(c5c(nc6ccccn65)c4c3C2=O)N1,test,WUR
OCQDPIXQTSYZJL,O=C1c2ccccc2C(=O)c2ccccc21,train,WUR
OIKHXEKXIIAQKY,c1ccc(CCCCn2cncn2)cc1,test,WUR
OJMMVQQUTAEWLP,O=C(NC[C@@H]1CCCCO1)[C@@H]1CCCN1,valid,WUR
OMOLDRXZKFFGJI,c1ccccc1,train,WUR
ONCZDRURRATYFI,C(=NOCc1ccccc1)c1ccccc1,train,WUR
OUPZKGBUJRBPGC,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,test,WUR
OWDLFBLNMPCXSD,O=C1OCCC1Nc1ccccc1,train,WUR
OWRCNXZUPFZXOS,N=C(Nc1ccccc1)Nc1ccccc1,test,WUR
OWUREPXBPJFMOK,O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1,train,WUR
OZMMLYFAEKBWEE,c1ccc(CCCN2CCOCC2)cc1,valid,WUR
PFEFOYRSMXVNEL,c1ccccc1,train,WUR
PFFIDZXUXFLSSR,O=C(Nc1ccsc1)c1cn[nH]c1,test,WUR
PHNUZKMIPFFYSO,c1ccccc1,train,WUR
PKKMITFKYRCCOL,N=C(Cc1c[nH]c2ccccc12)S[C@H]1CCCCO1,train,WUR
PLYQBXHVYUJNQB,C1CCOCC1,valid,WUR
PMCVMORKVPSKHZ,__ACYCLIC__PMCVMORKVPSKHZ,test,WUR
PNKLMTPXERFKEN,C1=C[C@H]2O[C@@H]3CCC(C2CC1)[C@]31CO1,test,WUR
PNVJTZOFSHSLTO,c1ccccc1,train,WUR
PNVNVHUZROJLTJ,c1ccc(CC2CCCCC2)cc1,valid,WUR
PNXBXCRWXNESOV,O=c1cc(Cc2ccccc2)[nH]c(=S)[nH]1,test,WUR
PQFRTXSWDXZRRS,c1c[nH]cn1,train,WUR
PRGILOMAMBLWNG,O=c1cccc2c(c1)CCCc1ccccc1-2,train,WUR
PRLVTUNWOQKEAI,N=C1NC(=O)N(c2ccccc2)CS1,valid,WUR
PTCGDEVVHUXTMP,O=C(Nc1ccccc1)c1ccccc1,train,WUR
PUFYZCKVLOYPHL,O=C(/C=C/c1ccccc1)O[C@H]1CCN2C[C@@H]3C[C@@H](CN4C(=O)CCC[C@H]34)[C@@H]2C1,test,WUR
PUIYMUZLKQOUOZ,c1ccccc1,train,WUR
PVTHJAPFENJVNC,C1CCC(O[C@@H]2CCCCO2)CC1,test,WUR
PXMNMQRDXWABCY,c1ccc(CCCCn2cncn2)cc1,test,WUR
PZBPKYOVPCNPJY,c1ccc(CCn2ccnc2)cc1,valid,WUR
PZRHRDRVRGEVNW,O=c1ccc(-c2ccncc2)c[nH]1,test,WUR
QAXBVGVYDCAVLV,O=C1CCCCC1c1cccs1,train,WUR
QAYICIQNSGETAS,S=C1NCNCS1,train,WUR
QBAYIBZITZBSFO,c1ccccc1,train,WUR
QBSJMKIUCUGGNG,c1ccccc1,train,WUR
QCAWEPFNJXQPAN,O=C(NNC(=O)c1ccccc1)c1ccccc1,valid,WUR
QFMJFXFXQAFGBO,c1ccccc1,train,WUR
QGHREAKMXXNCOA,c1ccccc1,train,WUR
QGTOTYJSCYHYFK,O=C(N[C@H]1COC(=O)[C@H](Cc2ccccc2)CCOC1=O)c1ccccn1,valid,WUR
QHMTXANCGGJZRX,O=C1NN=CCN1/N=C/c1cccnc1,train,WUR
QHOQHJPRIBSPCY,c1cncnc1,train,WUR
QJVOZXGJOGJKPT,O=C1C=CN2C[C@H]3CNC[C@@H](C3)[C@H]2C1,test,WUR
QMBJSIBWORFWQT,O=C1C=C2C=C[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,valid,WUR
QMGGMESMCJCABO,O=C1C=CC[C@@H]2[C@H]3CCC[NH+]4CCC[C@@H](CN12)[C@@H]34,test,WUR
QMGVPVSNSZLJIA,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,test,WUR
QRUDEWIWKLJBPS,c1ccc2[nH]nnc2c1,valid,WUR
QTCRXZRCLRRRCO,C=C1CCCC(=O)OC[C@H]2CC[NH+]3CC[C@@H](OC1=O)[C@@H]23,valid,WUR
QTDRLOKFLJJHTG,O=C(NC1CCCCC1)c1ccoc1,test,WUR
QVBOTMGSBYXVJQ,c1ccccc1,train,WUR
QYMMJNLHFKGANY,c1ccccc1,train,WUR
QZXATCCPQKOEIH,O=S(=O)(Nc1ccccc1)c1nc2ccncn2n1,test,WUR
RAOCRURYZCVHMG,c1ccc2[nH]cnc2c1,train,WUR
RBNIGDFIUWJJEV,O=C(Nc1ccccc1)c1ccccc1,train,WUR
RECCURWJDVZHIH,c1ccccc1,train,WUR
