cyanometdb_id,name,level,purity,unit_id,unit_is_group,muru_key,scaffold_group,mh_theor,formula_rdkit,heavy_atoms,mh_nce_set,n_mh_distinct_nce,n_mh_distinct_nce_first_mass_40,has_nce20_and_nce60,has_nce20_and_nce60_first_mass_40,mh_series,mh_instruments,in_msg15_any_route,in_msg15_simchallenge,in_muru_registry,in_study2,in_comparator,scaf_in_msg15,msg15_nn_tanimoto,P0_all_mh_ge3nce,P1_single_identity,P2_key_clean,P3_key_and_scaffold_clean,P4_P3_nce20_60,P5_P4_msg_range,P6_P4_muru_range,P7_P5_level1_2a,P8_P5_level1,P9_P5_first_mass_40,P10_P9_level1_2a
924,Kasumigamide,1,crude extract,CMDB924,False,WUXSZVRSSSITPJ,O=C(CCc1ccccc1)NCCC(=O)NC(CCC(=O)NCC(=O)NCCc1ccccc1)Cc1c[nH]c2ccccc12,787.3773516470003,C40H50N8O9,57.0,"15,20,25,30,40,50,60,70",8.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.4260869565217391,True,True,True,True,True,True,True,True,True,False,False
963,Carbamidocyclophane E,1,reference material,CMDB963,False,MMNOSSIKVRRNRZ,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,671.426593283,C38H58N2O8,48.0,,,,,,,,False,False,False,False,False,True,0.5918367346938775,False,False,False,False,False,False,False,False,False,False,False
969,Carbamidocyclophane D,1,reference material,CMDB969,False,YSZWKXRRCFZDNI,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,705.387620931,C38H57ClN2O8,49.0,,,,,,,,False,False,False,False,False,True,0.5272727272727272,False,False,False,False,False,False,False,False,False,False,False
972,Carbamidocyclophane C,1,Bioreagent,CMDB972,False,GTNWJJTZQLWLEN,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,739.348648579,C38H56Cl2N2O8,50.0,,,,,,,,False,False,False,False,False,True,0.5087719298245614,False,False,False,False,False,False,False,False,False,False,False
978,Carbamidocyclophane B,1,Bioreagent,CMDB978,False,PXEFELGJKKNAPC,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,773.3096762269998,C38H55Cl3N2O8,51.0,,,,,,,,False,False,False,False,False,True,0.4193548387096774,False,False,False,False,False,False,False,False,False,False,False
983,Carbamidocyclophane A,1,Bioreagent,CMDB983,False,KQQDTKLGLAIGOF,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,807.270703875,C38H54Cl4N2O8,52.0,,,,,,,,False,False,False,False,False,True,0.4385964912280701,False,False,False,False,False,False,False,False,False,False,False
1213,Gallinamide A,1,crude extract,CMDB1213,False,ASRBKZHDORPEHO,O=C1C=CCN1,593.390876471,C31H52N4O7,42.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,True,False,False,False,False,True,1.0,True,True,False,False,False,False,False,False,False,False,False
1240,Aeruginosin NOL3,1,crude extract,CMDB1240,False,KVEGLZCDCVSBQX,O=C(CCc1ccccc1)N1CCC2CCCCC21,589.370809723,C30H48N6O6,42.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.4,True,True,True,True,True,True,True,True,True,True,True
1339,Acutiphycin,1,reference material,CMDB1339,False,GEJXYOJDTGLZJE,O=C1CC=CC2CCCC(CC(=O)OCCC=CCC1)O2,481.3159802149999,C27H44O7,34.0,,,,,,,,False,False,False,False,False,False,0.2941176470588235,False,False,False,False,False,False,False,False,False,False,False
1466,Aerucyclamide A,1,crude extract,CMDB1466,False,VJFRQMMMXJJUSM,O=C1NCC2=NC(CS2)C(=O)NCC2=NC(CO2)C(=O)NCc2nc1cs2,535.215572035,C24H34N6O4S2,36.0,"15,20,25,30,40,50,60",7.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,True,True,False,False,False,True,1.0,True,True,False,False,False,False,False,False,False,False,False
1472,Aerucyclamide B,1,crude extract,CMDB1472,False,JFWABYMXSVHLEW,O=C1NCC2=NC(CO2)C(=O)NCc2nc(cs2)C(=O)NCc2nc1cs2,533.199921971,C24H32N6O4S2,36.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,True,False,False,False,False,True,1.0,True,True,False,False,False,False,False,False,False,False,False
1802,MC-RR,1,reference material,CMDB1802,False,JIGDOBKZMULDHS,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,1038.573091307,C49H75N13O12,74.0,"15,20,25,30,35,40,50,60,70",9.0,0.0,True,False,MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,True,0.8118811881188119,True,True,True,False,False,False,False,False,False,False,False
1823,MC-LR,1,reference material,CMDB1823,False,ZYZCGGRZINLQBL,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,995.5560442750002,C49H74N10O12,71.0,"15,20,25,30,35,40,50,60,70,80",10.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,True,True,False,False,False,True,0.8514851485148515,True,True,False,False,False,False,False,False,False,False,False
1844,MC-YR,1,reference material,CMDB1844,False,OWHASZQTEFAUJC,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)C(Cc2ccccc2)NC(=O)CNC1=O,1045.535308831,C52H72N10O13,75.0,"15,20,25,30,40,50",6.0,0.0,False,False,MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.7870370370370371,True,True,True,True,False,False,False,False,False,False,False
1861,[Dha7]MC-LR,1,reference material,CMDB1861,False,WLWITBHAANNFHV,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,981.540394211,C48H72N10O12,70.0,"15,20,25,30,35,40,50,60,70",9.0,0.0,True,False,MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,True,0.8411214953271028,True,True,True,False,False,False,False,False,False,False,False
1879,MC-HilR,1,reference material,CMDB1879,False,PJPFCNPJHGMQBK,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,1009.571694339,C50H76N10O12,72.0,"15,20,25,30,35,40,50,60,70",9.0,0.0,True,False,MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,True,0.7850467289719626,True,True,True,False,False,False,False,False,False,False,False
1894,MC-LA,1,reference material,CMDB1894,False,DIAQQISRBBDJIM,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,910.4920470510002,C46H67N7O12,65.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,True,True,True,False,False,True,1.0,True,True,False,False,False,False,False,False,False,False,False
1916,MC-LY,1,crude extract,CMDB1916,False,SIGQAYSWORHPPH,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CCNC(=O)CNC(=O)CNC1=O,1002.5182617990002,C52H71N7O13,72.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,True,False,False,True,0.956989247311828,True,True,False,False,False,False,False,False,False,False,False
1953,[D-Asp3]MC-LR,1,reference material,CMDB1953,False,VYEBKSHVYPDMQQ,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,981.540394211,C48H72N10O12,70.0,"15,20,25,30,35,40,50,60,70",9.0,0.0,True,False,MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,True,False,False,False,False,True,0.8454545454545455,True,True,False,False,False,False,False,False,False,False,False
1962,"[D-Asp3,(E)-Dhb7]MC-RR",1,reference material,CMDB1962,False,JIVQGWHGELHXHV,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)CNC(=O)CCNC(=O)CNC(=O)CNC1=O,1024.5574412430003,C48H73N13O12,73.0,,,,,,,,False,False,False,False,False,True,0.6416666666666667,False,False,False,False,False,False,False,False,False,False,False
1972,[D-Leu1]MC-LY,1,reference material,CMDB1972,False,ANDKUSLFYHFLNO,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CCNC(=O)CNC(=O)CNC1=O,1044.5652119910003,C55H77N7O13,75.0,"15,20,25,30,35,40,50,60,70",9.0,0.0,True,False,MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,True,0.9042553191489362,True,True,True,False,False,False,False,False,False,False,False
2066,MC-RY,1,reference material,CMDB2066,False,YCVNLMLOLNNEKI,C=C1NC(=O)CCCNC(=O)CC(C=CC=CCCCc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CCNC(=O)CNC(=O)CNC1=O,1045.535308831,C52H72N10O13,75.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,True,0.7870370370370371,True,True,True,False,False,False,False,False,False,False,False
2273,Rivulariapeptolide 1185,1,crude extract,CMDB2273,False,MLONDHJIZVGDPO,O=C1CNC(=O)C(NC(=O)C(COC(=O)C2CCCN2)NC(=O)C2CCCN2)COC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(N1)C2=O,1186.639439551,C61H87N9O15,85.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.72,True,True,True,True,True,False,False,False,False,False,False
2275,Rivulariapeptolide 1121,1,crude extract,CMDB2275,False,NSLGLRCZEMNFTE,C=C1NC(=O)C(NC(=O)C(COC(=O)C2CCCN2)NC(=O)C2CCCN2)COC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CN2CCCC(NC1=O)C2=O,1122.6081394230002,C56H83N9O15,80.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.8869565217391304,True,True,True,True,True,False,False,False,False,False,False
2276,Rivulariapeptolide 988,1,reference material,CMDB2276,False,VOJZQYLSWQMIAF,C=C1NC(=O)C(NC(=O)CNC(=O)C2CCCN2)COC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,989.497860703,C50H68N8O13,71.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,True,False,False,False,False,True,1.0,True,True,False,False,False,False,False,False,False,False,False
2277,Molassamide B,1,crude extract,CMDB2277,False,RHDUBBRUOVMSBW,C=C1NC(=O)CCOC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)N2CCCC(NC1=O)C2=O,1041.3927227070003,C48H65BrN8O13,70.0,"15,20,25,30,40,50,60",7.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,True,0.8888888888888888,True,True,True,True,True,False,True,False,False,False,False
2340,Insulapeptolide D,1,reference material,CMDB2340,False,CHDGJSXGBVKFIF,O=C1CN2CCCC(NC(=O)CNC(=O)C3NCCC3OC(=O)CNC(=O)C(Cc3ccccc3)N1)C2=O,970.5607953070004,C48H75N9O12,69.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.5769230769230769,True,True,True,True,True,True,True,True,True,False,False
2341,Insulapeptolide E,1,reference material,CMDB2341,False,NCTMHAKMWCIMCA,O=C1CN2CCCC(NC(=O)C(CCc3ccccc3)NC(=O)C(NC(=O)CNC(=O)C3CCCN3)COC(=O)CNC(=O)C(Cc3ccccc3)N1)C2=O,1021.5240754510004,C51H72N8O14,73.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.6268656716417911,True,True,True,True,True,False,True,False,False,False,False
2342,Insulapeptolide F,1,Bioreagent,CMDB2342,False,YGYHKTCZYNOIBL,O=C1CN2CCCC(NC(=O)C(CCc3ccccc3)NC(=O)C(NC(=O)CNC(=O)C3CCCN3)COC(=O)CNC(=O)C(Cc3ccccc3)N1)C2=O,1007.5084253870004,C50H70N8O14,72.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.6615384615384615,True,True,True,True,True,False,True,False,False,False,False
2343,Insulapeptolide G,1,Bioreagent,CMDB2343,False,FWWSPBIYNIQGJB,O=C1CN2CCCC(NC(=O)C(CCc3ccccc3)NC(=O)C(NC(=O)CNC(=O)C3CCCN3)COC(=O)CNC(=O)C(Cc3ccccc3)N1)C2=O,991.5135107670004,C50H70N8O13,71.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.6230769230769231,True,True,True,True,True,True,True,True,True,False,False
2344,Insulapeptolide H,1,reference material,CMDB2344,False,KADJXRUDRPKAEU,O=C1CN2CCCC(NC(=O)C(CCc3ccccc3)NC(=O)C(NC(=O)CNC(=O)C3CCCN3)COC(=O)CNC(=O)C(Cc3ccccc3)N1)C2=O,1005.5291608310004,C51H72N8O13,72.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.5895522388059702,True,True,True,True,True,False,True,False,False,False,False
2364,Cylindrocyclophane B,1,Bioreagent,CMDB2364,False,NUTUTERKXLKYNP,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,627.4255306629999,C38H58O7,45.0,,,,,,,,False,False,False,False,False,True,0.5471698113207547,False,False,False,False,False,False,False,False,False,False,False
2365,Cylindrocyclophane D,1,Bioreagent,CMDB2365,False,ISFVAVZOVOHZSB,c1cc2ccc1CCCCCCCc1ccc(cc1)CCCCCCC2,669.436095347,C40H60O8,48.0,,,,,,,,False,False,False,False,False,True,0.6041666666666666,False,False,False,False,False,False,False,False,False,False,False
2367,Nostolactone 4,1,crude extract,CMDB2367,False,ALOKGBOHBCZWBY,O=c1oc(-c2ccccc2)cc(Cc2ccccc2)c1Cc1ccccc1,417.1332648269999,C25H20O6,31.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.4,True,True,True,True,True,True,True,True,True,False,False
2520,Anhydrocyanobacterin,1,reference material,CMDB2520,False,GNRHIDBFAWGJDI,O=C1OC(=Cc2ccccc2)C=C1Cc1ccc2c(c1)OCO2,413.11502791899994,C23H21ClO5,29.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.3472222222222222,True,True,True,True,True,True,True,True,True,False,False
15,Nocuolin A,2a,reference material,CMDB15,False,MPGIDXBHXRMMSY,C1=NNOCC1,299.23291928699996,C16H30N2O3,21.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.3269230769230769,True,True,True,True,True,True,True,True,False,True,True
41,Portoamide A,2a,crude extract,CMDB41,False,IURIYLBJXOYFRR,C=C1NC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CC(CCOC(=O)CCc2ccccc2)NC(=O)C2CCCN2C(=O)C(CCc2ccccc2)NC(=O)CNC1=O,1532.7882885949998,C74H109N13O22,109.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.36,True,True,True,True,True,False,False,False,False,False,False
42,Portoamide B,2a,crude extract,CMDB42,False,XCGGFKXEWPNQFS,C=C1NC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CC(CCOC(=O)CCc2ccccc2)NC(=O)C2CCCN2C(=O)C(CCc2ccccc2)NC(=O)CNC1=O,1502.7777239109998,C73H107N13O21,107.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.3835616438356164,True,True,True,True,True,False,False,False,False,False,False
140,Pseudospumigin A,2a,crude extract,CMDB140,False,QACTZPSCGSGUNG,O=C(CCc1ccccc1)NCCCc1ccccc1,613.3344242149999,C31H44N6O7,44.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.4567901234567901,True,True,True,True,True,True,True,True,False,True,True
149,Sphaerocyclamide,2a,crude extract,CMDB149,False,JKBXTXMXBDJJQA,O=C1CNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1,918.471980303,C46H63N9O11,66.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.5670103092783505,True,True,True,True,True,True,True,True,False,True,True
173,Portoamide C,2a,crude extract,CMDB173,False,ACFCYNJDAMJVRV,C=C1NC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CCNC(=O)C2CCCN2C(=O)C(CCc2ccccc2)NC(=O)CNC1=O,1313.6987453189993,C62H96N12O19,93.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.392,True,True,True,True,True,False,False,False,False,False,False
174,Portoamide D,2a,crude extract,CMDB174,False,OCPKVHKLLYWOOG,C=C1NC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CCNC(=O)C2CCCN2C(=O)C(CCc2ccccc2)NC(=O)CNC1=O,1283.6881806349995,C61H94N12O18,91.0,"15,20,25,30,40,50,60,70,80",9.0,9.0,True,True,MSBNK-EAWAG-EC|MSBNK-EAWAG-ED,Exploris 240 Thermo Scientific,False,False,False,False,False,False,0.452991452991453,True,True,True,True,True,False,False,False,False,False,False
190,Scytocyclamide B,2a,crude extract,CMDB190,False,OIXICRGCRLGQCN,O=C1CCNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,1367.814443767,C63H110N14O19,96.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.4385964912280701,True,True,True,True,True,False,False,False,False,False,False
191,Scytocyclamide C,2a,crude extract,CMDB191,False,MXJFACMBSIQIJG,O=C1CCNC(=O)CNC(=O)CNC(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,1351.819529147,C63H110N14O18,95.0,"15,20,25,30,40,50,60,70,80",9.0,0.0,True,False,MSBNK-MLU-ED,QExactive Plus,False,False,False,False,False,False,0.4385964912280701,True,True,True,True,True,False,False,False,False,False,False
