identifier,inchikey,fold,simulation_challenge,adduct,instrument_type,collision_energy,precursor_mz,parent_mass,formula,precursor_formula,smiles,ce_missing,cyanometdb_name
MassSpecGymID0070031,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,150.743106,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070032,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,125.619255,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070033,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,100.495404,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070034,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,75.371553,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070035,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,50.247702,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070036,ZDOVFDLIJJGVQM,val,True,[M+H]+,Orbitrap,25.123851,837.4617,836.4544239999999,C41H60N10O9,C41H61N10O9,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Anabaenopeptin B
MassSpecGymID0070037,ZDOVFDLIJJGVQM,val,False,[M+H]+,Orbitrap,,837.462,836.4547239999999,C41H60N10O9,C41H61N10O9,CC(C)C1NC(=O)C(NC(=O)NC(CCCN=C(N)N)C(=O)O)CCCCNC(=O)C(Cc2ccccc2)NC(=O)C(C)N(C)C(=O)C(CCc2ccc(O)cc2)NC1=O,True,Anabaenopeptin B
MassSpecGymID0070247,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,109.25904,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070248,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,163.88855999999998,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070249,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,273.14759999999995,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070250,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,327.77712,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070251,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,136.57379999999998,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070252,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,218.51808,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070253,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,54.62952,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070254,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,81.94427999999999,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070255,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,27.31476,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070256,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,327.77712,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070257,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,273.14759999999995,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070258,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,218.51808,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070259,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,163.88855999999998,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070260,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,136.57379999999998,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070261,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,109.25904,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070262,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,81.94427999999999,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070263,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,54.62952,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070264,DIAQQISRBBDJIM,train,True,[M+H]+,Orbitrap,27.31476,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,False,MC-LA
MassSpecGymID0070265,DIAQQISRBBDJIM,train,False,[M+H]+,Orbitrap,,910.492,909.484724,C46H67N7O12,C46H68N7O12,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(C)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,True,MC-LA
MassSpecGymID0072546,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,160.56467999999998,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072547,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,96.338808,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072548,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,16.056468000000002,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072549,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,32.112936000000005,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072550,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,80.28233999999999,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072551,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,128.45174400000002,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072552,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,48.169404,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072553,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,192.677616,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072554,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,64.22587200000001,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072555,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,192.677616,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072556,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,160.56467999999998,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072557,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,128.45174400000002,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072558,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,96.338808,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072559,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,80.28233999999999,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072560,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,64.22587200000001,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072561,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,48.169404,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072562,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,32.112936000000005,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072563,VJFRQMMMXJJUSM,test,True,[M+H]+,Orbitrap,16.056468000000002,535.2156,534.208324,C24H34N6O4S2,C24H35N6O4S2,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H]([C@@H](C)CC)NC(=O)c2csc(n2)CNC(=O)[C@H]2N=C1O[C@@H]2C,False,Aerucyclamide A
MassSpecGymID0072912,KCAKUFQSCADGHZ,test,True,[M+H]+,Orbitrap,51.506376,858.4396,857.432324,C45H59N7O10,C45H60N7O10,CC[C@@H](C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Oscillamide Y
MassSpecGymID0072913,KCAKUFQSCADGHZ,test,True,[M+H]+,Orbitrap,103.012752,858.4396,857.432324,C45H59N7O10,C45H60N7O10,CC[C@@H](C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Oscillamide Y
MassSpecGymID0072914,KCAKUFQSCADGHZ,test,True,[M+H]+,Orbitrap,154.519128,858.4396,857.432324,C45H59N7O10,C45H60N7O10,CC[C@@H](C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Oscillamide Y
MassSpecGymID0072915,KCAKUFQSCADGHZ,test,True,[M+H]+,Orbitrap,206.025504,858.4396,857.432324,C45H59N7O10,C45H60N7O10,CC[C@@H](C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Oscillamide Y
MassSpecGymID0072916,KCAKUFQSCADGHZ,test,True,[M+H]+,Orbitrap,25.753188,858.4396,857.432324,C45H59N7O10,C45H60N7O10,CC[C@@H](C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Oscillamide Y
MassSpecGymID0072917,KCAKUFQSCADGHZ,test,True,[M+H]+,Orbitrap,309.038256,858.4396,857.432324,C45H59N7O10,C45H60N7O10,CC[C@@H](C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Oscillamide Y
MassSpecGymID0072918,KCAKUFQSCADGHZ,test,True,[M+H]+,Orbitrap,257.53188,858.4396,857.432324,C45H59N7O10,C45H60N7O10,CC[C@@H](C)[C@@H]1NC(=O)[C@H](NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,False,Oscillamide Y
