world_id,cell_id,c_gen_level,mu_ceil_level,replicate,content_hash,case_status,false_m0_rejection,fired,boundary_counts_m1,boundary_counts_m2,boundary_counts_m3,evaluable_m1,evaluable_m2,evaluable_m3,evaluable_sufficient_m1,evaluable_sufficient_m2,evaluable_sufficient_m3,practical_wins_m1,practical_wins_m2,practical_wins_m3,boundary_limited,mu_max_at_clip_share,pin_at_ceiling_share,n_fit_rows,n_contact_fits,n_unresolved_fits,mu_inf,phi_p,scale,coefficient
V2C|E0|g1e3_c1e4|r001,g1e3_c1e4,g1e3,c1e4,1,06845efc7015d38eb53181810f26d1069f9388a85a806325c130d6e96099eeac,M0_NOT_REJECTED,False,,0,0,1,30,30,29,True,True,True,4,5,5,False,0.0,0.016666666666666666,1080,3,3,0.17338288152156564,1.226081178697672,1.1322174938693206,0.3645827743431955
V2C|E0|g1e3_copen|r001,g1e3_copen,g1e3,copen,1,06845efc7015d38eb53181810f26d1069f9388a85a806325c130d6e96099eeac,M0_NOT_REJECTED,False,,0,0,1,30,30,29,True,True,True,4,5,5,False,0.0,0.022222222222222223,1080,4,4,0.17338288152156564,1.226081178697672,1.1322174938693206,0.3645827743431955
V2C|E0|g1e4_c1e3|r001,g1e4_c1e3,g1e4,c1e3,1,06845efc7015d38eb53181810f26d1069f9388a85a806325c130d6e96099eeac,M0_NOT_REJECTED,False,,0,0,1,30,30,29,True,True,True,4,5,5,False,0.0,0.016666666666666666,1080,3,3,0.17338288152156564,1.226081178697672,1.1322174938693206,0.3645827743431955
V2C|E0|g1e4_c1e4|r001,g1e4_c1e4,g1e4,c1e4,1,06845efc7015d38eb53181810f26d1069f9388a85a806325c130d6e96099eeac,M0_NOT_REJECTED,False,,0,0,1,30,30,29,True,True,True,4,5,5,False,0.0,0.016666666666666666,1080,3,3,0.17338288152156564,1.226081178697672,1.1322174938693206,0.3645827743431955
V2C|E0|g1e4_copen|r001,g1e4_copen,g1e4,copen,1,06845efc7015d38eb53181810f26d1069f9388a85a806325c130d6e96099eeac,M0_NOT_REJECTED,False,,0,0,1,30,30,29,True,True,True,4,5,5,False,0.0,0.022222222222222223,1080,4,4,0.17338288152156564,1.226081178697672,1.1322174938693206,0.3645827743431955
V2C|E0|gnone_c1e3|r001,gnone_c1e3,gnone,c1e3,1,06845efc7015d38eb53181810f26d1069f9388a85a806325c130d6e96099eeac,M0_NOT_REJECTED,False,,0,0,1,30,30,29,True,True,True,4,5,5,False,0.0,0.016666666666666666,1080,3,3,0.17338288152156564,1.226081178697672,1.1322174938693206,0.3645827743431955
V2C|E0|gnone_c1e4|r001,gnone_c1e4,gnone,c1e4,1,06845efc7015d38eb53181810f26d1069f9388a85a806325c130d6e96099eeac,M0_NOT_REJECTED,False,,0,0,1,30,30,29,True,True,True,4,5,5,False,0.0,0.016666666666666666,1080,3,3,0.17338288152156564,1.226081178697672,1.1322174938693206,0.3645827743431955
V2C|E0|gnone_copen|r001,gnone_copen,gnone,copen,1,06845efc7015d38eb53181810f26d1069f9388a85a806325c130d6e96099eeac,M0_NOT_REJECTED,False,,0,0,1,30,30,29,True,True,True,4,5,5,False,0.0,0.022222222222222223,1080,4,4,0.17338288152156564,1.226081178697672,1.1322174938693206,0.3645827743431955
V2C|E0|g1e3_c1e3|r002,g1e3_c1e3,g1e3,c1e3,2,e88cec3edb5106f0b5019c877e1374d1ea57c6a125d6bf6b4a057d3a63ec1586,BOUNDARY_LIMITED,False,,0,6,7,30,24,23,True,True,False,3,5,3,True,0.03333333333333333,0.05,1080,15,14,0.20799710101453614,1.590818821558306,1.2257937874382974,0.5185701333174092
V2C|E0|g1e3_c1e4|r002,g1e3_c1e4,g1e3,c1e4,2,e88cec3edb5106f0b5019c877e1374d1ea57c6a125d6bf6b4a057d3a63ec1586,M0_NOT_REJECTED,False,,0,6,6,30,24,24,True,True,True,3,5,3,False,0.03333333333333333,0.044444444444444446,1080,14,13,0.20799710101453614,1.590818821558306,1.2257937874382974,0.5185701333174092
V2C|E0|g1e3_copen|r002,g1e3_copen,g1e3,copen,2,e88cec3edb5106f0b5019c877e1374d1ea57c6a125d6bf6b4a057d3a63ec1586,M0_NOT_REJECTED,False,,0,6,4,30,24,26,True,True,True,3,5,4,False,0.03333333333333333,0.022222222222222223,1080,10,10,0.20799710101453614,1.590818821558306,1.2257937874382974,0.5185701333174092
V2C|E0|g1e4_c1e3|r002,g1e4_c1e3,g1e4,c1e3,2,dc3499cafea8e76a794b7cd661ec8a226b8aa13f94e4beef42bcc58a353a12f4,BOUNDARY_LIMITED,False,,0,6,7,30,24,23,True,True,False,3,5,3,True,0.03333333333333333,0.05,1080,15,14,0.20799710101453614,1.590818821558306,1.2257937874382974,0.5185701333174092
V2C|E0|g1e4_c1e4|r002,g1e4_c1e4,g1e4,c1e4,2,dc3499cafea8e76a794b7cd661ec8a226b8aa13f94e4beef42bcc58a353a12f4,M0_NOT_REJECTED,False,,0,6,6,30,24,24,True,True,True,3,5,3,False,0.03333333333333333,0.044444444444444446,1080,14,13,0.20799710101453614,1.590818821558306,1.2257937874382974,0.5185701333174092
V2C|E0|g1e4_copen|r002,g1e4_copen,g1e4,copen,2,dc3499cafea8e76a794b7cd661ec8a226b8aa13f94e4beef42bcc58a353a12f4,M0_NOT_REJECTED,False,,0,6,4,30,24,26,True,True,True,3,5,4,False,0.03333333333333333,0.022222222222222223,1080,10,10,0.20799710101453614,1.590818821558306,1.2257937874382974,0.5185701333174092
V2C|E0|gnone_c1e3|r002,gnone_c1e3,gnone,c1e3,2,0cd383a5e4e5e100060876124a2fbbdea22c60ac8553ac3d70243d59a205c575,BOUNDARY_LIMITED,False,,0,6,7,30,24,23,True,True,False,3,5,3,True,0.0,0.05555555555555555,1080,16,14,0.20799710101453614,1.590818821558306,1.2257937874382974,0.5185701333174092
V2C|E0|gnone_c1e4|r002,gnone_c1e4,gnone,c1e4,2,0cd383a5e4e5e100060876124a2fbbdea22c60ac8553ac3d70243d59a205c575,M0_NOT_REJECTED,False,,0,6,6,30,24,24,True,True,True,3,5,3,False,0.0,0.044444444444444446,1080,14,13,0.20799710101453614,1.590818821558306,1.2257937874382974,0.5185701333174092
V2C|E0|gnone_copen|r002,gnone_copen,gnone,copen,2,0cd383a5e4e5e100060876124a2fbbdea22c60ac8553ac3d70243d59a205c575,M0_NOT_REJECTED,False,,0,6,4,30,24,26,True,True,True,3,5,4,False,0.0,0.022222222222222223,1080,10,10,0.20799710101453614,1.590818821558306,1.2257937874382974,0.5185701333174092
V2C|E0|g1e3_c1e3|r003,g1e3_c1e3,g1e3,c1e3,3,7123ec6e711a69380f62b6ccfcfb0020da860513b98916a322c2783bf6aadbb1,BOUNDARY_LIMITED,False,,0,0,8,30,30,22,True,True,False,5,5,8,True,0.0,0.06666666666666667,1080,12,11,0.2554675083289248,1.3452653746762955,1.301528384494917,0.48050042582206054
V2C|E0|g1e3_c1e4|r003,g1e3_c1e4,g1e3,c1e4,3,7123ec6e711a69380f62b6ccfcfb0020da860513b98916a322c2783bf6aadbb1,BOUNDARY_LIMITED,False,,0,0,9,30,30,21,True,True,False,5,5,8,True,0.0,0.06666666666666667,1080,12,11,0.2554675083289248,1.3452653746762955,1.301528384494917,0.48050042582206054
V2C|E0|g1e3_copen|r003,g1e3_copen,g1e3,copen,3,7123ec6e711a69380f62b6ccfcfb0020da860513b98916a322c2783bf6aadbb1,BOUNDARY_LIMITED,False,,0,0,7,30,30,23,True,True,False,5,5,7,True,0.0,0.05,1080,9,9,0.2554675083289248,1.3452653746762955,1.301528384494917,0.48050042582206054
V2C|E0|g1e4_c1e3|r003,g1e4_c1e3,g1e4,c1e3,3,7123ec6e711a69380f62b6ccfcfb0020da860513b98916a322c2783bf6aadbb1,BOUNDARY_LIMITED,False,,0,0,8,30,30,22,True,True,False,5,5,8,True,0.0,0.06666666666666667,1080,12,11,0.2554675083289248,1.3452653746762955,1.301528384494917,0.48050042582206054
V2C|E0|g1e4_c1e4|r003,g1e4_c1e4,g1e4,c1e4,3,7123ec6e711a69380f62b6ccfcfb0020da860513b98916a322c2783bf6aadbb1,BOUNDARY_LIMITED,False,,0,0,9,30,30,21,True,True,False,5,5,8,True,0.0,0.06666666666666667,1080,12,11,0.2554675083289248,1.3452653746762955,1.301528384494917,0.48050042582206054
V2C|E0|g1e4_copen|r003,g1e4_copen,g1e4,copen,3,7123ec6e711a69380f62b6ccfcfb0020da860513b98916a322c2783bf6aadbb1,BOUNDARY_LIMITED,False,,0,0,7,30,30,23,True,True,False,5,5,7,True,0.0,0.05,1080,9,9,0.2554675083289248,1.3452653746762955,1.301528384494917,0.48050042582206054
V2C|E0|gnone_c1e3|r003,gnone_c1e3,gnone,c1e3,3,7123ec6e711a69380f62b6ccfcfb0020da860513b98916a322c2783bf6aadbb1,BOUNDARY_LIMITED,False,,0,0,8,30,30,22,True,True,False,5,5,8,True,0.0,0.06666666666666667,1080,12,11,0.2554675083289248,1.3452653746762955,1.301528384494917,0.48050042582206054
V2C|E0|gnone_c1e4|r003,gnone_c1e4,gnone,c1e4,3,7123ec6e711a69380f62b6ccfcfb0020da860513b98916a322c2783bf6aadbb1,BOUNDARY_LIMITED,False,,0,0,9,30,30,21,True,True,False,5,5,8,True,0.0,0.06666666666666667,1080,12,11,0.2554675083289248,1.3452653746762955,1.301528384494917,0.48050042582206054
V2C|E0|gnone_copen|r003,gnone_copen,gnone,copen,3,7123ec6e711a69380f62b6ccfcfb0020da860513b98916a322c2783bf6aadbb1,BOUNDARY_LIMITED,False,,0,0,7,30,30,23,True,True,False,5,5,7,True,0.0,0.05,1080,9,9,0.2554675083289248,1.3452653746762955,1.301528384494917,0.48050042582206054
V2C|E0|g1e3_c1e3|r004,g1e3_c1e3,g1e3,c1e3,4,fa0589df8a9960050805189a678bc3796347b6974d07fe9dbb1eaf354b018871,BOUNDARY_LIMITED,False,,0,0,8,30,30,22,True,True,False,3,5,7,True,0.0,0.1111111111111111,1080,20,19,0.28351927734080273,1.3677847730890464,1.5507186035021394,0.40491947718159016
V2C|E0|g1e3_c1e4|r004,g1e3_c1e4,g1e3,c1e4,4,fa0589df8a9960050805189a678bc3796347b6974d07fe9dbb1eaf354b018871,BOUNDARY_LIMITED,False,,0,0,8,30,30,22,True,True,False,3,5,7,True,0.0,0.10555555555555556,1080,19,18,0.28351927734080273,1.3677847730890464,1.5507186035021394,0.40491947718159016
V2C|E0|g1e3_copen|r004,g1e3_copen,g1e3,copen,4,fa0589df8a9960050805189a678bc3796347b6974d07fe9dbb1eaf354b018871,M0_NOT_REJECTED,False,,0,0,5,30,30,25,True,True,True,3,5,8,False,0.0,0.03888888888888889,1080,7,6,0.28351927734080273,1.3677847730890464,1.5507186035021394,0.40491947718159016
V2C|E0|g1e4_c1e3|r004,g1e4_c1e3,g1e4,c1e3,4,fa0589df8a9960050805189a678bc3796347b6974d07fe9dbb1eaf354b018871,BOUNDARY_LIMITED,False,,0,0,8,30,30,22,True,True,False,3,5,7,True,0.0,0.1111111111111111,1080,20,19,0.28351927734080273,1.3677847730890464,1.5507186035021394,0.40491947718159016
V2C|E0|g1e4_c1e4|r004,g1e4_c1e4,g1e4,c1e4,4,fa0589df8a9960050805189a678bc3796347b6974d07fe9dbb1eaf354b018871,BOUNDARY_LIMITED,False,,0,0,8,30,30,22,True,True,False,3,5,7,True,0.0,0.10555555555555556,1080,19,18,0.28351927734080273,1.3677847730890464,1.5507186035021394,0.40491947718159016
V2C|E0|g1e4_copen|r004,g1e4_copen,g1e4,copen,4,fa0589df8a9960050805189a678bc3796347b6974d07fe9dbb1eaf354b018871,M0_NOT_REJECTED,False,,0,0,5,30,30,25,True,True,True,3,5,8,False,0.0,0.03888888888888889,1080,7,6,0.28351927734080273,1.3677847730890464,1.5507186035021394,0.40491947718159016
V2C|E0|gnone_c1e3|r004,gnone_c1e3,gnone,c1e3,4,fa0589df8a9960050805189a678bc3796347b6974d07fe9dbb1eaf354b018871,BOUNDARY_LIMITED,False,,0,0,8,30,30,22,True,True,False,3,5,7,True,0.0,0.1111111111111111,1080,20,19,0.28351927734080273,1.3677847730890464,1.5507186035021394,0.40491947718159016
V2C|E0|gnone_c1e4|r004,gnone_c1e4,gnone,c1e4,4,fa0589df8a9960050805189a678bc3796347b6974d07fe9dbb1eaf354b018871,BOUNDARY_LIMITED,False,,0,0,8,30,30,22,True,True,False,3,5,7,True,0.0,0.10555555555555556,1080,19,18,0.28351927734080273,1.3677847730890464,1.5507186035021394,0.40491947718159016
V2C|E0|gnone_copen|r004,gnone_copen,gnone,copen,4,fa0589df8a9960050805189a678bc3796347b6974d07fe9dbb1eaf354b018871,M0_NOT_REJECTED,False,,0,0,5,30,30,25,True,True,True,3,5,8,False,0.0,0.03888888888888889,1080,7,6,0.28351927734080273,1.3677847730890464,1.5507186035021394,0.40491947718159016
V2C|E0|g1e3_c1e3|r005,g1e3_c1e3,g1e3,c1e3,5,68879d54004b08d49c1cf9dc4bedb5f365d5eea7b273875c6ab155647974be5a,BOUNDARY_LIMITED,False,,0,1,10,30,29,20,True,True,False,5,6,3,True,0.0,0.16666666666666666,1080,32,28,0.28843041470342135,1.2779300995835228,1.4474447365946423,0.4357218322546763
V2C|E0|g1e3_c1e4|r005,g1e3_c1e4,g1e3,c1e4,5,68879d54004b08d49c1cf9dc4bedb5f365d5eea7b273875c6ab155647974be5a,BOUNDARY_LIMITED,False,,0,1,10,30,29,20,True,True,False,5,6,3,True,0.0,0.15555555555555556,1080,30,27,0.28843041470342135,1.2779300995835228,1.4474447365946423,0.4357218322546763
V2C|E0|g1e3_copen|r005,g1e3_copen,g1e3,copen,5,68879d54004b08d49c1cf9dc4bedb5f365d5eea7b273875c6ab155647974be5a,M0_NOT_REJECTED,False,,0,1,6,30,29,24,True,True,True,5,6,7,False,0.0,0.044444444444444446,1080,10,9,0.28843041470342135,1.2779300995835228,1.4474447365946423,0.4357218322546763
V2C|E0|g1e4_c1e3|r005,g1e4_c1e3,g1e4,c1e3,5,68879d54004b08d49c1cf9dc4bedb5f365d5eea7b273875c6ab155647974be5a,BOUNDARY_LIMITED,False,,0,1,10,30,29,20,True,True,False,5,6,3,True,0.0,0.16666666666666666,1080,32,28,0.28843041470342135,1.2779300995835228,1.4474447365946423,0.4357218322546763
V2C|E0|g1e4_c1e4|r005,g1e4_c1e4,g1e4,c1e4,5,68879d54004b08d49c1cf9dc4bedb5f365d5eea7b273875c6ab155647974be5a,BOUNDARY_LIMITED,False,,0,1,10,30,29,20,True,True,False,5,6,3,True,0.0,0.15555555555555556,1080,30,27,0.28843041470342135,1.2779300995835228,1.4474447365946423,0.4357218322546763
V2C|E0|g1e4_copen|r005,g1e4_copen,g1e4,copen,5,68879d54004b08d49c1cf9dc4bedb5f365d5eea7b273875c6ab155647974be5a,M0_NOT_REJECTED,False,,0,1,6,30,29,24,True,True,True,5,6,7,False,0.0,0.044444444444444446,1080,10,9,0.28843041470342135,1.2779300995835228,1.4474447365946423,0.4357218322546763
V2C|E0|gnone_c1e3|r005,gnone_c1e3,gnone,c1e3,5,68879d54004b08d49c1cf9dc4bedb5f365d5eea7b273875c6ab155647974be5a,BOUNDARY_LIMITED,False,,0,1,10,30,29,20,True,True,False,5,6,3,True,0.0,0.16666666666666666,1080,32,28,0.28843041470342135,1.2779300995835228,1.4474447365946423,0.4357218322546763
V2C|E0|gnone_c1e4|r005,gnone_c1e4,gnone,c1e4,5,68879d54004b08d49c1cf9dc4bedb5f365d5eea7b273875c6ab155647974be5a,BOUNDARY_LIMITED,False,,0,1,10,30,29,20,True,True,False,5,6,3,True,0.0,0.15555555555555556,1080,30,27,0.28843041470342135,1.2779300995835228,1.4474447365946423,0.4357218322546763
V2C|E0|gnone_copen|r005,gnone_copen,gnone,copen,5,68879d54004b08d49c1cf9dc4bedb5f365d5eea7b273875c6ab155647974be5a,M0_NOT_REJECTED,False,,0,1,6,30,29,24,True,True,True,5,6,7,False,0.0,0.044444444444444446,1080,10,9,0.28843041470342135,1.2779300995835228,1.4474447365946423,0.4357218322546763
V2C|E0|g1e3_c1e3|r006,g1e3_c1e3,g1e3,c1e3,6,a4bd1e08e899e0937f73e9c4a2435e84af742b70e3b71f969bdbe6b5ea903c82,BOUNDARY_LIMITED,False,,0,2,18,30,28,12,True,True,False,4,9,1,True,0.03333333333333333,0.39444444444444443,1080,73,72,0.15126535996244528,1.417473207219543,1.7275789571847318,0.40503897911460823
V2C|E0|g1e3_c1e4|r006,g1e3_c1e4,g1e3,c1e4,6,a4bd1e08e899e0937f73e9c4a2435e84af742b70e3b71f969bdbe6b5ea903c82,BOUNDARY_LIMITED,False,,0,2,18,30,28,12,True,True,False,4,9,1,True,0.03333333333333333,0.3888888888888889,1080,72,71,0.15126535996244528,1.417473207219543,1.7275789571847318,0.40503897911460823
V2C|E0|g1e3_copen|r006,g1e3_copen,g1e3,copen,6,a4bd1e08e899e0937f73e9c4a2435e84af742b70e3b71f969bdbe6b5ea903c82,BOUNDARY_LIMITED,False,,0,2,16,30,28,14,True,True,False,4,9,1,True,0.03333333333333333,0.2833333333333333,1080,53,49,0.15126535996244528,1.417473207219543,1.7275789571847318,0.40503897911460823
V2C|E0|g1e4_c1e3|r006,g1e4_c1e3,g1e4,c1e3,6,59b624b6d6628d847ebdfd425aaf5b772b0b66730dc9a00665f5847372b86f77,BOUNDARY_LIMITED,False,,0,2,18,30,28,12,True,True,False,4,9,1,True,0.03333333333333333,0.39444444444444443,1080,73,72,0.15126535996244528,1.417473207219543,1.7275789571847318,0.40503897911460823
V2C|E0|g1e4_c1e4|r006,g1e4_c1e4,g1e4,c1e4,6,59b624b6d6628d847ebdfd425aaf5b772b0b66730dc9a00665f5847372b86f77,BOUNDARY_LIMITED,False,,0,2,18,30,28,12,True,True,False,4,9,1,True,0.03333333333333333,0.3888888888888889,1080,72,71,0.15126535996244528,1.417473207219543,1.7275789571847318,0.40503897911460823
V2C|E0|g1e4_copen|r006,g1e4_copen,g1e4,copen,6,59b624b6d6628d847ebdfd425aaf5b772b0b66730dc9a00665f5847372b86f77,BOUNDARY_LIMITED,False,,0,2,16,30,28,14,True,True,False,4,9,1,True,0.03333333333333333,0.2833333333333333,1080,53,49,0.15126535996244528,1.417473207219543,1.7275789571847318,0.40503897911460823
V2C|E0|gnone_c1e3|r006,gnone_c1e3,gnone,c1e3,6,dbcc3aca0cc0f87c0aaf4bbf5c2dc9f69c0f2099ea697d7361af60cc9cf477b1,BOUNDARY_LIMITED,False,,0,1,17,30,29,13,True,True,False,5,9,2,True,0.0,0.39444444444444443,1080,72,72,0.15126535996244528,1.417473207219543,1.7275789571847318,0.40503897911460823
V2C|E0|gnone_c1e4|r006,gnone_c1e4,gnone,c1e4,6,dbcc3aca0cc0f87c0aaf4bbf5c2dc9f69c0f2099ea697d7361af60cc9cf477b1,BOUNDARY_LIMITED,False,,0,1,17,30,29,13,True,True,False,5,9,2,True,0.0,0.3888888888888889,1080,71,71,0.15126535996244528,1.417473207219543,1.7275789571847318,0.40503897911460823
V2C|E0|gnone_copen|r006,gnone_copen,gnone,copen,6,dbcc3aca0cc0f87c0aaf4bbf5c2dc9f69c0f2099ea697d7361af60cc9cf477b1,BOUNDARY_LIMITED,False,,0,1,16,30,29,14,True,True,False,5,9,2,True,0.0,0.26666666666666666,1080,49,47,0.15126535996244528,1.417473207219543,1.7275789571847318,0.40503897911460823
V2C|E0|g1e3_c1e3|r007,g1e3_c1e3,g1e3,c1e3,7,32eff307028014fe0022266b987c8a4e96fc4d07c0ed0684cf176f3c9e5cb25c,M0_NOT_REJECTED,False,,0,1,5,30,29,25,True,True,True,6,11,7,False,0.0,0.07222222222222222,1080,14,14,0.1845776841888242,1.2981203943645694,1.6350851666521435,0.37719572287453035
V2C|E0|g1e3_c1e4|r007,g1e3_c1e4,g1e3,c1e4,7,32eff307028014fe0022266b987c8a4e96fc4d07c0ed0684cf176f3c9e5cb25c,M0_NOT_REJECTED,False,,0,1,5,30,29,25,True,True,True,6,11,7,False,0.0,0.07222222222222222,1080,14,13,0.1845776841888242,1.2981203943645694,1.6350851666521435,0.37719572287453035
V2C|E0|g1e3_copen|r007,g1e3_copen,g1e3,copen,7,32eff307028014fe0022266b987c8a4e96fc4d07c0ed0684cf176f3c9e5cb25c,M0_NOT_REJECTED,False,,0,1,5,30,29,25,True,True,True,6,11,7,False,0.0,0.05,1080,10,10,0.1845776841888242,1.2981203943645694,1.6350851666521435,0.37719572287453035
V2C|E0|g1e4_c1e3|r007,g1e4_c1e3,g1e4,c1e3,7,32eff307028014fe0022266b987c8a4e96fc4d07c0ed0684cf176f3c9e5cb25c,M0_NOT_REJECTED,False,,0,1,5,30,29,25,True,True,True,6,11,7,False,0.0,0.07222222222222222,1080,14,14,0.1845776841888242,1.2981203943645694,1.6350851666521435,0.37719572287453035
V2C|E0|g1e4_c1e4|r007,g1e4_c1e4,g1e4,c1e4,7,32eff307028014fe0022266b987c8a4e96fc4d07c0ed0684cf176f3c9e5cb25c,M0_NOT_REJECTED,False,,0,1,5,30,29,25,True,True,True,6,11,7,False,0.0,0.07222222222222222,1080,14,13,0.1845776841888242,1.2981203943645694,1.6350851666521435,0.37719572287453035
V2C|E0|g1e4_copen|r007,g1e4_copen,g1e4,copen,7,32eff307028014fe0022266b987c8a4e96fc4d07c0ed0684cf176f3c9e5cb25c,M0_NOT_REJECTED,False,,0,1,5,30,29,25,True,True,True,6,11,7,False,0.0,0.05,1080,10,10,0.1845776841888242,1.2981203943645694,1.6350851666521435,0.37719572287453035
V2C|E0|gnone_c1e3|r007,gnone_c1e3,gnone,c1e3,7,32eff307028014fe0022266b987c8a4e96fc4d07c0ed0684cf176f3c9e5cb25c,M0_NOT_REJECTED,False,,0,1,5,30,29,25,True,True,True,6,11,7,False,0.0,0.07222222222222222,1080,14,14,0.1845776841888242,1.2981203943645694,1.6350851666521435,0.37719572287453035
V2C|E0|gnone_c1e4|r007,gnone_c1e4,gnone,c1e4,7,32eff307028014fe0022266b987c8a4e96fc4d07c0ed0684cf176f3c9e5cb25c,M0_NOT_REJECTED,False,,0,1,5,30,29,25,True,True,True,6,11,7,False,0.0,0.07222222222222222,1080,14,13,0.1845776841888242,1.2981203943645694,1.6350851666521435,0.37719572287453035
V2C|E0|gnone_copen|r007,gnone_copen,gnone,copen,7,32eff307028014fe0022266b987c8a4e96fc4d07c0ed0684cf176f3c9e5cb25c,M0_NOT_REJECTED,False,,0,1,5,30,29,25,True,True,True,6,11,7,False,0.0,0.05,1080,10,10,0.1845776841888242,1.2981203943645694,1.6350851666521435,0.37719572287453035
V2C|E0|g1e3_c1e3|r008,g1e3_c1e3,g1e3,c1e3,8,514fbd784491327c5f01d4e445862586ce95c3b9a6c36a9ed431e9e23c7e4b1a,M0_NOT_REJECTED,False,,0,0,6,30,30,24,True,True,True,5,8,4,False,0.0,0.03888888888888889,1080,7,6,0.2213723548332084,1.4880688725939044,1.1731456308747648,0.36711706058181354
V2C|E0|g1e3_c1e4|r008,g1e3_c1e4,g1e3,c1e4,8,514fbd784491327c5f01d4e445862586ce95c3b9a6c36a9ed431e9e23c7e4b1a,M0_NOT_REJECTED,False,,0,0,6,30,30,24,True,True,True,5,8,4,False,0.0,0.03333333333333333,1080,6,6,0.2213723548332084,1.4880688725939044,1.1731456308747648,0.36711706058181354
