key,collection,position,smiles,mh,R1_single_position_all_energies,R3_no_isolation_conflict,R2_ms2_all_energies,R4_window_and_ce,R5_mass_range,R6_features,R7_neutral_scaffold_new,scaffold_group,in_step10,in_step8,in_v2_five_rung,VALIDATION,ANCHOR,SECONDARY
RCVVYGVSUSFWCH,NEXUS,_Q2_pos_E7_,COc1ccc(Nc2nc(N3CCN(c4nc(-c5ccccc5)cs4)CC3)nc3ccccc23)c(OC)c1,525.206721136,False,True,False,False,True,True,True,c1ccc(Nc2nc(N3CCN(c4nc(-c5ccccc5)cs4)CC3)nc3ccccc23)cc1,False,False,False,False,False,False
MGEKSZJPCUJZMV,NEXUS,_Q3_pos_G12_,Cc1[nH]c2ccccc2c1CCNC(=O)c1c(Cl)cccc1Cl,347.071244492,False,True,False,False,True,True,True,O=C(NCCc1c[nH]c2ccccc12)c1ccccc1,False,False,False,False,False,False
VBBJHIUQUVAEMU,NEXUS,_Q3_pos_C11_,COc1ccc(C(=O)CCNc2ccccc2C(=O)NC2CC2)cc1OC,369.180883248,False,True,False,False,True,True,True,O=C(CCNc1ccccc1C(=O)NC1CC1)c1ccccc1,False,False,False,False,False,False
WFZVFCIUAYURKP,NEXUS,_Q1_pos_A6_,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CC[C@@]21OCOC12COCO2,389.2322501239999,True,True,True,True,True,True,True,O=C1C=C2CCC3C(CCC4C3CCC43OCOC34COCO4)C2CC1,True,True,False,True,False,False
KLEXNRKNWCUVEH,NEXUS,_Q2_pos_G7_,COc1cc(C(=O)Nc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)c(Br)c(OC)c1OC,487.04992442799994,True,True,True,True,True,True,True,O=C(Nc1ccc(-c2ccccc2)cc1)c1ccccc1,True,True,False,True,False,False
CIWPPKOBHCIDCN,NEXUS,_Q1_pos_D8_,COc1cc(CNC(=O)c2ccccc2Br)cc(OC)c1OC,380.04919615599994,True,True,True,True,True,True,False,O=C(NCc1ccccc1)c1ccccc1,False,True,False,False,False,True
VBMHRWYILPGKJD,NEXUS,_Q1_pos_H7_,Cc1[nH]c2ccccc2c1CCNC(=O)c1ccccc1Br,357.059701264,True,True,True,True,True,True,True,O=C(NCCc1c[nH]c2ccccc12)c1ccccc1,True,True,False,True,False,False
WBPBZJALVPENLT,NEXUS,_P5_pos_A1_,Cc1[nH]c2ccc(OC(F)(F)F)cc2c1CCNC(=O)c1cccnc1Cl,398.08776506,True,True,True,True,True,True,True,O=C(NCCc1c[nH]c2ccccc12)c1cccnc1,True,True,False,True,False,False
WQVBIOASHIQGLA,NEXUS,_Q3_pos_F7_,Cc1[nH]c2ccccc2c1CCNC(=O)c1cc(F)c(F)cc1Cl,349.09137322,False,True,False,False,True,True,True,O=C(NCCc1c[nH]c2ccccc12)c1ccccc1,False,False,False,False,False,False
LTVSSQLGIHDDKJ,NEXUS,_Q1_pos_E12_,Cc1[nH]c2ccccc2c1CCNC(=O)c1cc([N+](=O)[O-])ccc1Cl,358.095295052,True,True,True,True,True,True,True,O=C(NCCc1c[nH]c2ccccc12)c1ccccc1,True,True,False,True,False,False
RGQSCJJOBRCXLT,NEXUS,_Q3_pos_D12_,COc1ccc2[nH]c(C)c(CCNC(=O)c3cc([N+](=O)[O-])ccc3Cl)c2c1,388.10585973599996,False,True,False,False,True,True,True,O=C(NCCc1c[nH]c2ccccc12)c1ccccc1,False,False,False,False,False,False
QGXOXYVBMZXFJA,NEXUS,_Q2_pos_C6_,COc1cc(C(=O)OCc2ccccc2Cl)cc(OC)c1OC,337.083727324,True,True,False,False,True,True,False,O=C(OCc1ccccc1)c1ccccc1,False,True,False,False,False,False
SRWKSZVFPVIAGB,NEXUS,_P5_pos_G4_,COc1cc(/C=C/C(=O)c2cn(C)nc2C)cc(OC)c1OC,317.14958312,False,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1cn[nH]c1,False,False,False,False,False,False
LYGKLNSLEDDWLG,NEXUS,_Q2_pos_D8_,Cn1c2ccccc2c2cc(/C=C/C(=O)c3ccc4ccccc4c3O)ccc21,378.148854848,True,True,False,False,True,True,True,O=C(C=Cc1ccc2[nH]c3ccccc3c2c1)c1ccc2ccccc2c1,True,True,False,False,False,False
MACMAADVRVVHBD,NEXUS,_P5_pos_C2_,O=C(/C=C/c1ccccc1O)c1ccc(O)cc1O,257.080834864,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,True,False,False
ODLVGCCGMXGMGZ,NEXUS,_Q3_pos_B12_,COc1ccccc1/C=C/C(=O)c1ccc(O)cc1O,271.096484928,False,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,False,False,False,False,False,False
DXDRHHKMWQZJHT,NEXUS,_Q2_pos_A11_,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,257.080834864,False,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,False,False,False
JUMSUVHHUVPSOY,NEXUS,_P5_pos_A3_,O=C(/C=C/c1ccccc1)c1ccc(O)cc1O,241.085920244,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,True,False,False
NXTSNFDLQUTBRV,NEXUS,_P5_pos_A4_,O=C(/C=C/c1ccccc1O)c1cc(O)ccc1O,257.080834864,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,False,False,False
NMANELLSWUVZNL,NEXUS,_P5_pos_B1_,O=C(/C=C/c1ccc(O)cc1)c1cc(O)ccc1O,257.080834864,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,True,False,False
PZVRZRARFZZBCA,NEXUS,_P5_pos_C3_,O=C(/C=C/c1ccccc1)c1cc(O)ccc1O,241.085920244,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,False,False,False
MAKLCKLUFVSVCF,NEXUS,_Q1_pos_B12_,O=C(/C=C/c1ccc2c(c1)OCO2)c1ccc2c(c1)OCCO2,311.09139954799997,True,True,True,True,True,True,True,O=C(C=Cc1ccc2c(c1)OCO2)c1ccc2c(c1)OCCO2,True,True,False,True,False,False
LURVHXAVEIWYKE,NEXUS,_Q4_pos_D8_,COc1ccc(/C=C/C(=O)c2ccc3c(c2)OCCO3)cc1COc1ccccc1,403.15399980399997,True,True,False,False,True,True,True,O=C(C=Cc1cccc(COc2ccccc2)c1)c1ccc2c(c1)OCCO2,True,True,False,False,False,False
FIAJEAZUWVHGJX,NEXUS,_Q4_pos_D11_,COc1cccc(/C=C/C(=O)c2ccc3c(c2)OCO3)c1OC,313.10704961199997,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccc2c(c1)OCO2,True,True,False,False,False,False
GHSGVKQCGCFKTI,NEXUS,_Q2_pos_H11_,COc1ccc(OC)c(/C=C/C(=O)c2ccc3c(c2)OCO3)c1,313.10704961199997,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccc2c(c1)OCO2,True,True,False,True,False,False
WLPPIQFQOIOZAI,NEXUS,_Q4_pos_G11_,COc1ccccc1/C=C/C(=O)c1ccc2c(c1)OCO2,283.096484928,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccc2c(c1)OCO2,True,True,False,True,False,False
SLFHNYISGYKFCO,NEXUS,_Q2_pos_F7_,O=C(/C=C/c1cccs1)c1ccc2c(c1)OCO2,259.04234118,True,True,True,True,True,True,True,O=C(C=Cc1cccs1)c1ccc2c(c1)OCO2,True,True,False,True,False,False
GGMKKMHAXFYCRV,NEXUS,_Q2_pos_D11_,COc1ccc(/C=C/C(=O)c2ccc3c(c2)OCO3)cc1OC,313.10704961199997,True,False,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccc2c(c1)OCO2,True,True,False,False,False,False
TZUMHGNAWOBUHF,NEXUS,_P5_pos_D4_,Cc1nn(-c2ccccc2)c(C)c1/C=C/C(=O)c1ccc2c(c1)OCO2,347.1390184359999,True,True,True,True,True,True,True,O=C(C=Cc1cnn(-c2ccccc2)c1)c1ccc2c(c1)OCO2,True,True,False,True,False,False
INETVQKSJAGWIA,NEXUS,_Q1_pos_D11_,COc1cccc(/C=C/C(=O)c2ccc3c(c2)OCO3)c1,283.096484928,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccc2c(c1)OCO2,True,True,False,False,False,False
DXIFNBLJXZHOGP,NEXUS,_Q2_pos_H11_,O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccc2c(c1)OCO2,298.07099845199997,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccc2c(c1)OCO2,True,True,False,True,False,False
ABKGDSFSFZQWJG,NEXUS,_P5_pos_F3_,Cc1ccc(/C=C/C(=O)c2ccc3c(c2)OCO3)s1,273.057991244,True,True,True,True,True,True,True,O=C(C=Cc1cccs1)c1ccc2c(c1)OCO2,True,True,False,True,False,False
GUNGQVJAKLIYDG,NEXUS,_Q3_pos_A11_,COc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,255.101570308,False,False,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,False,False,False,False,False,False
BPAVQKLQOSHOPN,NEXUS,_P5_pos_G2_,Cc1ccc(O)c(C(=O)/C=C/c2ccccc2)c1,239.106655688,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,True,False,False
BLEVPIDFNNFTHJ,NEXUS,_P5_pos_D4_,O=C(/C=C/c1cccc(O)c1)c1ccccc1O,241.085920244,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,True,False,False
NAMBJCHNETWBCH,NEXUS,_P5_pos_A2_,CCCCOc1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)cc1OCCCC,421.13317605199995,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,False,False,False
AJFTWGKYXHISKT,NEXUS,_Q3_pos_E12_,COc1ccc(/C=C/C(=O)c2ccc(O)cc2C)cc1,269.117220372,False,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,False,False,False,False,False,False
UAHGNXFYLAJDIN,NEXUS,_P5_pos_C4_,O=C(/C=C/c1ccccc1)c1ccc(O)cc1,225.091005624,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,False,False,False
KSHCTKZLHCSARH,NEXUS,_Q4_pos_G12_,O=C(/C=C/c1ccccc1O)c1ccccc1O,241.085920244,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,True,False,False
YSQIUMMXCDQXNQ,NEXUS,_Q2_pos_H8_,COc1ccc(C2c3[nH]c4ccccc4c3CCN2C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1,499.2227480599999,False,True,False,False,True,True,True,O=C(C=Cc1ccccc1)N1CCc2c([nH]c3ccccc23)C1c1ccccc1,False,False,False,False,False,False
DVTCVHHMJPHVPH,NEXUS,_Q1_pos_C9_,COc1ccc(C2c3[nH]c4ccccc4c3CCN2C(=O)/C=C/c2ccccc2)cc1,409.191054008,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)N1CCc2c([nH]c3ccccc23)C1c1ccccc1,True,True,False,True,False,False
MMZCJIUBMRKRDI,NEXUS,_Q3_pos_C9_,COc1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc(C(C)C)cc2)c(OC)c1,464.279534664,False,True,False,False,True,True,True,O=C(C=Cc1ccccc1)N1CCC2CCCCC2C1c1ccccc1,False,False,False,False,False,False
NWNQOAZCDWMOGB,NEXUS,_Q2_pos_E8_,CCOc1ccccc1C1C2CCCCC2(O)CCN1C(=O)/C=C/c1ccc(OC)cc1,436.248234536,True,False,True,True,True,True,True,O=C(C=Cc1ccccc1)N1CCC2CCCCC2C1c1ccccc1,True,True,False,False,False,False
ZNMDYRBJLIGPMV,NEXUS,_Q4_pos_A9_,CC(C)c1ccc(/C=C/C(=O)N2CCC3(O)CCCCC3C2c2ccc(F)cc2)cc1,422.248983484,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)N1CCC2CCCCC2C1c1ccccc1,True,True,False,True,False,False
UYBVBFZQKLNELJ,NEXUS,_Q2_pos_F9_,CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1,523.316648444,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)N1CCC2CCCCC2C1c1ccccc1,True,True,False,True,False,False
JUVWKLNEQWVVNU,NEXUS,_Q2_pos_A8_,CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc(OC)c(OC)c2)cc1,493.30608375999986,False,True,False,False,True,True,True,O=C(C=Cc1ccccc1)N1CCC2CCCCC2C1c1ccccc1,False,False,False,False,False,False
SZGUWLDVMTURRF,NEXUS,_Q4_pos_E9_,CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc(OC)cc2)cc1,463.2955190759999,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)N1CCC2CCCCC2C1c1ccccc1,True,True,False,True,False,False
VUKJILLDBZDVEJ,NEXUS,_Q1_pos_A10_,CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc(C(C)C)cc2)cc1,475.3319045839999,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)N1CCC2CCCCC2C1c1ccccc1,True,True,False,True,False,False
KFCBLCBBGIDWQJ,NEXUS,_Q1_pos_C9_,COc1ccc(/C=C/C(=O)C2CC2)cc1COc1ccc([N+](=O)[O-])cc1,354.13359870799997,True,True,True,True,True,True,True,O=C(C=Cc1cccc(COc2ccccc2)c1)C1CC1,True,True,False,True,False,False
QKIMIKVYSGPLAG,NEXUS,_Q3_pos_C12_,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1cccc2ccccc12,304.096819276,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)c1cccc2ccccc12,True,True,False,True,False,False
XHRZBKIFQAMKNF,NEXUS,_Q2_pos_H5_,CC(=O)N/C(=C/c1ccccc1)C(=O)NCc1ccco1,285.12336837199996,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)NCc1ccco1,True,True,False,False,False,False
BIDDLDNGQCUOJQ,NEXUS,_Q2_pos_F11_,O=C(O)/C(=C/c1ccccc1)c1ccccc1,225.091005624,True,True,False,False,True,True,True,C(=Cc1ccccc1)c1ccccc1,True,True,False,False,False,False
GAEVIVZGXCUYEX,NEXUS,_Q3_pos_B8_,N#C/C(=C\c1ccc(N2CCOCC2)o1)C(=O)NCCc1c[nH]c2ccccc12,391.176466564,False,True,False,False,True,True,True,O=C(C=Cc1ccc(N2CCOCC2)o1)NCCc1c[nH]c2ccccc12,False,False,False,False,False,False
XNCRUNXWPDJHGV,NEXUS,_Q3_pos_D11_,C/C(=C\c1ccccc1)C(=O)O,163.07535556,False,True,False,False,True,True,False,c1ccccc1,False,False,False,False,False,False
SFCUSJOYYNAHAS,NEXUS,_Q1_pos_G9_,CCn1cc(/C=C/C(=O)c2ccc(O)cc2)c(C)n1,257.128453752,True,True,True,True,True,True,True,O=C(C=Cc1cn[nH]c1)c1ccccc1,True,True,False,True,False,False
UYULJYQCIXAZIN,NEXUS,_Q1_pos_A6_,O=C(/C=C/c1ccc(Cl)cc1Cl)c1ccc(Br)cc1,354.928658368,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,False,False,False
NWGJYNXIZXDHRB,NEXUS,_Q4_pos_E5_,Cc1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)cc1,291.033796364,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)c1ccccc1,True,True,False,False,False,False
