connectivity_key,smiles,adduct,scaffold_group,in_lcsb_dev,in_lcsb_sealed,side,n_source_rows,source_libraries
AHIPJALLQVEEQF,C(OC1=CC=C(C=C1)N(CC1CO1)CC1CO1)C1CO1,[M+H]+,c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
AHMMSNQYOPMLSX,[H][C@@]12CC[C@H](OC(=O)CCCCCCCCC=C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,[M+H]+,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AHOUBRCZNHFOSL,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,[M+H]+,c1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AKNNEGZIBPJZJG,[H][C@@]1(OC(=O)C2=C(OC)C(OC)=CC=C12)[C@]1([H])N(C)CCC2=C1C(OC)=C1OCOC1=C2,[M+H]+,O=C1O[C@H]([C@@H]2NCCc3cc4c(cc32)OCO4)c2ccccc21,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AKNQMEBLVAMSNZ,ClC1=CC(Cl)=C(C=C1)C1(CN2C=NC=N2)OCCO1,[M+H]+,c1ccc(C2(Cn3cncn3)OCCO2)cc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
ALEXXDVDDISNDU,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C,[M+H]+,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
ALRRPAKWGUBPBK,N=C1N[C@H]2[C@H](COC(=O)NS(=O)(=O)O)N(O)C(=N)N3CCC(O)(O)[C@]23N1,[M+H]+,N=C1N[C@H]2CNC(=N)N3CCC[C@]23N1,False,False,WUR-SEALED,6,WFSR_Polar
AMEKQAFGQBKLKX,CC1=C(C(=O)NC2=CC=CC=C2)S(=O)(=O)CCO1,[M+H]+,O=C(Nc1ccccc1)C1=COCCS1(=O)=O,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AMFDITJFBUXZQN,Nc1ncnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,[M+H]+,c1ncc2[nH]cc([C@H]3CCCN3)c2n1,False,False,WUR-SEALED,6,WFSR_Polar
AMFGTOFWMRQMEM,CCOP(=S)(OCC)OC1=NN(C=N1)C1=CC=CC=C1,[M+H]+,c1ccc(-n2cncn2)cc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
ANJTVLIZGCUXLD,O=C1C=CC=C2[C@H]3CNC[C@H](C3)CN12,[M+H]+,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
ANVREEJNGJMLOV,CC(C)C1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C(C)C)OC3=CC=C(C=C3)C(C)C,[M+H]+,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
AOOCSKCGZYCEJX,[H][C@@]12CN3CC[C@@H](O)C[C@]3([H])[C@@]([H])(CN3C(=O)C=CC=C13)C2,[M+H]+,O=c1cccc2n1C[C@H]1C[C@@H]2CN2CCCC[C@H]12,False,False,WUR-DEV,12,WFSR_food_safety;WUR
APTZNLHMIGJTEW,CCOC(=O)COC1=C(Cl)C=C(F)C(=C1)C1=NN(C)C(OC(F)F)=C1Cl,[M+H]+,c1ccc(-c2cc[nH]n2)cc1,True,True,WUR-SEALED,12,WFSR_food_safety;WUR
AQHHHDLHHXJYJD,CC(C)NCC(O)COc1cccc2ccccc12,[M+H]+,c1ccc2ccccc2c1,True,False,WUR-DEV,12,ETE;WUR
ARAIBEBZBOPLMB,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,[M+H]+,C1=COCCC1,False,False,WUR-SEALED,6,WFSR_Polar
ASDAXOTYWQZBDR,C[C@]1(O)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC(=O)[C@@]4(CO4)[C@H](C)[C@H]1C)[C@@H]23,[M+H]+,O=C1CCC[C@]2(CO2)C(=O)O[C@@H]2CC[NH+]3CC=C(CO1)[C@H]23,False,False,WUR-DEV,12,WFSR_food_safety;WUR
ASLWPAWFJZFCKF,ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,[M+H]+,__ACYCLIC__ASLWPAWFJZFCKF,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
ASWVTGNCAZCNNR,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,[M+H]+,O=S(=O)(Nc1ncccn1)c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
ASXBYYWOLISCLQ,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,[M+H]+,C1CCC(O[C@@H]2OCC[C@H]2O[C@H]2CCCCO2)CC1,False,False,WUR-SEALED,6,WFSR_Polar
ATROHALUCMTWTB,CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
ATWWYGQDYGSWQA,CN[C@H]1CCC2=CC(OC)=C(OC)C(OC)=C2C2=CC=C(O)C(=O)C=C12,[M+H]+,O=c1cccc2c(c1)CCCc1ccccc1-2,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AUFSOOYCQYDGES,CNCC(C)C1=CC=CC=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AUGQEEXBDZWUJY,[H][C@@]12O[C@]3([H])C=C(C)CC[C@]3(COC(C)=O)[C@@](C)([C@H](OC(C)=O)[C@H]1O)[C@]21CO1,[M+NH4]+,C1=C[C@H]2O[C@@H]3CCC(C2CC1)[C@]31CO1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AUQAUAIUNJIIEP,CNC(=O)OC1=CC(C)=C(C)C(C)=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AWSZRJQNBMEZOI,COCCOC(=O)C(C#N)(C(=O)C1=CC=CC=C1C(F)(F)F)C1=CC=C(C=C1)C(C)(C)C,[M+NH4]+,O=C(Cc1ccccc1)c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AWZOLILCOUMRDG,CCOP(=O)(SC1=CC=CC=C1)SC1=CC=CC=C1,[M+H]+,O=[PH](Sc1ccccc1)Sc1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AXMBYGGSBXWTEY,OC(=O)CNC(=O)C1=CN=CC=C1C(F)(F)F,[M+H]+,c1ccncc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
AYEAUPRZTZWBBF,C\C(NCC1=CC=C(Cl)N=C1)=N/C#N,[M+H]+,c1ccncc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BAFQDKPJKOLXFZ,COP(=O)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BATVZJPOLFSGTD,CCN(CCOC(C)OCC(C)C)C1=CC=C(C=C1)N=NC1=CC=CC=C1,[M+H]+,c1ccc(N=Nc2ccccc2)cc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BBXXLROWFHWFQY,CCCCC1=C(O)N=C(NCC)N=C1C,[M+H]+,c1cncnc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
BCJMNZRQJAVDLD,O[C@@]1(CO)C(=O)OCC2=CCN3CC[C@@H](OC(=O)/C(C[C@H]1C)=C/C)[C@H]32,[M+H]+,C=C1CCCC(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,False,False,WUR-DEV,24,WFSR_food_safety;WUR
BCQMBFHBDZVHKU,CCNC1=NC(OC)=NC(NC(C)(C)C)=N1,[M+H]+,c1ncncn1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BCTQJXQXJVLSIG,CC(C)OC1=CC=CC(NC(=O)C2=C(C)C=CC=C2)=C1,[M+H]+,O=C(Nc1ccccc1)c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BEAXWKCHSPVXQB,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)C(=O)CN1CCN(C)CC1,[M+H]+,O=C(CN1CCNCC1)c1cccc(-c2nc(=O)c3[nH]ncc3[nH]2)c1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BEGLCMHJXHIJLR,CN1SC=CC1=O,[M+H]+,O=c1ccs[nH]1,True,True,WUR-SEALED,12,WFSR_food_safety;WUR
BEMXOWRVWRNPPL,COP(=O)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O,[M+H]+,O=C1NC(=O)c2ccccc21,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BEZZFPOZAYTVHN,COC(=O)NC1=NC2=C(N1)C=CC(=C2)S(=O)C1=CC=CC=C1,[M+H]+,O=S(c1ccccc1)c1ccc2[nH]cnc2c1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
BFYIZQONLCFLEV,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O,[M+H]+,C=C1C[C@@H]2[C@H](CCC3C(=O)CC[C@H]32)C2C=CC(=O)C=C12,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BGHDUTQZGWOQIA,[H][C@@]12CCCN1C(=O)[C@H](C(C)C)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O,[M+H]+,O=C(NC1OC2[C@@H]3CCCN3C(=O)CN2C1=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2NC1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BGPSRMUUQQTZFB,CCCC1=NN(C)C2=C1NC(=NC2=S)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1,[M+H]+,O=S(=O)(c1cccc(-c2nc(=S)c3[nH]ncc3[nH]2)c1)N1CCNCC1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BGRWYDHXPHLNKA,CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O,[M+H]+,__ACYCLIC__BGRWYDHXPHLNKA,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BHHGXPLMPWCGHP,NCCC1=CC=CC=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BIXJFIJYBLJTMK,CN1CC(CO)C=C2C1CC1=CNC3=CC=CC2=C13,[M+H]+,C1=C2c3cccc4[nH]cc(c34)CC2NCC1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BJQHLKABXJIVAM,CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BKVJOVPVLOJPKJ,CCOP(=S)(OCC)SCCS(=O)(=O)CC,[M+H]+,__ACYCLIC__BKVJOVPVLOJPKJ,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BLGXFZZNTVWLAY,[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2,[M+H]+,c1ccc2c3c([nH]c2c1)[C@@H]1C[C@@H]2CCCC[C@H]2CN1CC3,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BMLIZLVNXIYGCK,CN(C)C(=O)NC1=CC=C(Cl)C=C1,[M+H]+,c1ccccc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
BNRNXUUZRGQAQC,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,[M+H]+,O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nc2cn[nH]c12,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BOFHKBLZOYVHSI,CNP(=O)(OC)OC1=CC=C(C=C1Cl)C(C)(C)C,[M+H]+,c1ccccc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
BPFYOAJNDMUVBL,CN1CCN(CC1)C1=C2OCN(C)N3C=C(C(O)=O)C(=O)C(C=C1F)=C23,[M+H]+,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCN2,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BPICBUSOMSTKRF,CC1=CC=CC(C)=C1NC1=NCCCS1,[M+H]+,c1ccc(NC2=NCCCS2)cc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BPZSYCZIITTYBL,COC1=CC=C(C[C@H](C)NC[C@@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1,[M+H]+,c1ccc(CCNCCc2ccccc2)cc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BQJCRHHNABKAKU,CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35,[M+H]+,C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H](C1)O5,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BQXQGZPYHWWCEB,CC(C)NCC(O)COC1=CC=CC2=C1C1=C(N2)C=CC=C1,[M+H]+,c1ccc2c(c1)[nH]c1ccccc12,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BQYJATMQXGBDHF,CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1,[M+H]+,c1ccc(Oc2ccc(C3(Cn4cncn4)OCCO3)cc2)cc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
BTHCJHQOYFUIMG,C[C@]1(O)C(=O)OC[C@H]2CCN3CC[C@@H](OC(=O)\C(C[C@H]1C)=C/C)[C@H]32,[M+H]+,C=C1CCCC(=O)OC[C@H]2CCN3CC[C@@H](OC1=O)[C@@H]23,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BUGYDGFZZOZRHP,CC12CC3CC(C)(C1)CC(N)(C3)C2,[M+H]+,C1C2CC3CC1CC(C2)C3,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BULVZWIRKLYCBC,CCOP(=S)(OCC)SCSCC,[M+H]+,__ACYCLIC__BULVZWIRKLYCBC,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
BUXRLJCGHZZYNE,CC(C)NCC(O)C1=CC=C(N)C(=C1)C#N,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BUYMVQAILCEWRR,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,[M+H]+,__ACYCLIC__BUYMVQAILCEWRR,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BVZWTQCTAVYACS,[H][C@]1(C[C@@]2([H])O[C@@]3(CC[C@]4(CC=C[C@H](O4)\C=C\CCC(O)=O)O3)[C@H](C)C[C@@]2([H])O1)[C@@H](O)[C@]1(O)O[C@@H]([C@@H](C)C[C@H]1C)C(=C)C[C@@]12C[C@@H](C)C[C@@]([H])(O1)[C@@]1([H])O[C@]3(C[C@@]1([H])O2)NC[C@H](C)C[C@@H]3C,[M+H]+,C=C(C[C@@]12CCC[C@@H](O1)[C@H]1O[C@]3(CCCCN3)C[C@H]1O2)[C@@H]1CCCC(C[C@@H]2C[C@H]3O[C@]4(CC[C@H]3O2)CC[C@]2(CC=CCO2)O4)O1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BWQSLRZZOVFVHJ,C[C@@H](O)[C@](O)(C(=O)OC[C@@H]1CCN2CCC[C@H]21)C(C)C,[M+H]+,C1CC2CCCN2C1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BXEHUCNTIZGSOJ,CCN(C(C)C(C)C)C(=O)SCC1=CC=CC=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BXFOFFBJRFZBQZ,[H][C@@]12O[C@]3([H])C=C(C)[C@H](C[C@]3(COC(C)=O)[C@@](C)([C@H](OC(C)=O)[C@H]1O)[C@]21CO1)OC(=O)CC(C)C,[M+NH4]+,C1=C[C@H]2O[C@@H]3CCC(C2CC1)[C@]31CO1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
BXNANOICGRISHX,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,[M+H]+,O=c1ccc2ccccc2o1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
BYYMILHAKOURNM,CC(C#C)N(C)C(=O)NC1=CC=C(Cl)C=C1,[M+H]+,c1ccccc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
BZGLBXYQOMFXAU,CC1CCCCN1CCCOC(=O)C1=CC(Cl)=C(Cl)C=C1,[M+H]+,O=C(OCCCN1CCCCC1)c1ccccc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CAWXEEYDBZRFPE,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,[M+H]+,O=c1nc[nH]c(=O)n1C1CCCCC1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
CCCGEKHKTPTUHJ,CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,[M+H]+,C=C1C2CCC1c1c(NC(=O)c3cn[nH]c3)cccc12,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CCGPUGMWYLICGL,CCCCN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CEAZRRDELHUEMR,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,[M+H]+,C1CC[C@@H](O[C@@H]2CCC[C@H](O[C@@H]3CCCCO3)C2)OC1,False,False,WUR-DEV,6,WFSR_Polar
CEBXXEKPIIDJHL,CC1=CC(O)=CC2=C1C1=C(C(=O)O2)C(O)=CC(O)=C1,[M+H]+,O=c1oc2ccccc2c2ccccc12,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CEEDFYRUPAWDOU,CCCCC(CC)COC(=O)C(C)OC1=C(Cl)C=C(Cl)C=C1,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CEIZFXOZIQNICU,[H][C@]1(NC(=O)C(C(C)=O)=C1O)[C@@H](C)CC,[M+H]+,O=C1C=CCN1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CFRPSFYHXJZSBI,CCN(CC1=CC=C(Cl)N=C1)C(\NC)=C\[N+]([O-])=O,[M+H]+,c1ccncc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CGBCCZZJVKUAMX,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,[M+H]+,O=C1C=CC2C(=C1)C=C[C@H]1[C@@H]3CCCC3CC[C@H]21,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CHIFOSRWCNZCFN,CCC(CC)NC1=C(C=C(C)C(C)=C1[N+]([O-])=O)[N+]([O-])=O,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CIEXPHRYOLIQQD,COC(=O)C(C)N(C(=O)C1=CC=CO1)C1=C(C)C=CC=C1C,[M+H]+,O=C(Nc1ccccc1)c1ccco1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
CIFWZNRJIBNXRE,CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1,[M+H]+,c1ccc(Nc2ncccn2)cc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
CIGKZVUEZXGYSV,CCc1cccc(C)c1N(C(=O)CS(=O)(=O)O)C(C)COC,[M+H]+,c1ccccc1,False,False,WUR-DEV,12,ETE;WUR
CJHXCRMKMMBYJQ,CCCCC1=C(O)N=C(N=C1C)N(C)C,[M+H]+,c1cncnc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CJIASZBWXIFQMU,CO[C@@H](CC1=CC=CC=C1)[C@@H](C)\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(O)=O)C(O)=O,[M+H]+,C=C1NC(=O)CCCNC(=O)C[C@H](/C=C/C=C/CCCc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CCNC(=O)CNC(=O)CNC1=O,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CJJOSEISRRTUQB,COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O,[M+Na]+,O=c1[nH]nnc2ccccc12,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CJPQIRJHIZUAQP,COC(=O)[C@@H](C)N(C(=O)CC1=CC=CC=C1)C1=C(C)C=CC=C1C,[M+H]+,O=C(Cc1ccccc1)Nc1ccccc1,True,False,WUR-DEV,12,WFSR_food_safety;WUR
CKIJIGYDFNXSET,OC[C@H]1O[C@@H](SC(CCC2=CC=CC=C2)=NOS(O)(=O)=O)[C@H](O)[C@@H](O)[C@@H]1O,[M+H]+,N=C(CCc1ccccc1)S[C@H]1CCCCO1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CKPCAYZTYMHQEX,CON=C(CC1=CC=CN=C1)C1=C(Cl)C=C(Cl)C=C1,[M+H]+,N=C(Cc1cccnc1)c1ccccc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CKPJPJSVQMEGBC,C[C@]1(O)C(=O)OCC2=CCN3CC[C@H](OC(=O)[C@](O)(C[C@H]1C)C(C)Cl)[C@@H]32,[M+H]+,O=C1CCCCC(=O)O[C@H]2CCN3CC=C(CO1)[C@@H]23,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
CLSJYOLYMZNKJB,CCCS(=O)(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC)N2,[M+H]+,c1ccc2[nH]cnc2c1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
CLSVJBIHYWPGQY,CCOC(=O)OC1=C(C(=O)N[C@@]11CC[C@@H](CC1)OC)C1=C(C)C=CC(C)=C1,[M+H]+,O=C1NC2(C=C1c1ccccc1)CCCCC2,True,True,WUR-SEALED,12,WFSR_food_safety;WUR
CMGDVUCDZOBDNL,Cc1cccc2[nH]nnc12,[M+H]+,c1ccc2[nH]nnc2c1,False,False,WUR-DEV,12,ETE;WUR
