instrument_type,ce_repr,n_rows,fewest_decimals_within_4ulp,ulps_from_that_rounding
Orbitrap,5.021827999999999,2,6.0,1.0
Orbitrap,5.060618000000001,1,6.0,1.0
Orbitrap,5.101675999999999,1,6.0,1.0
Orbitrap,5.125736000000001,2,6.0,1.0
Orbitrap,5.163995999999999,4,6.0,1.0
Orbitrap,5.180154000000001,1,6.0,1.0
Orbitrap,5.203530225000001,10,9.0,1.0
Orbitrap,5.205356000000001,1,6.0,1.0
Orbitrap,5.220656999999999,4,6.0,1.0
Orbitrap,5.241747999999999,1,6.0,1.0
Orbitrap,5.252731004999999,1,9.0,1.0
Orbitrap,5.253292675000001,2,9.0,1.0
Orbitrap,5.303439999999999,1,5.0,1.0
Orbitrap,5.314157999999999,4,6.0,1.0
Orbitrap,5.361502000000001,6,6.0,1.0
Orbitrap,5.3832960000000005,1,6.0,1.0
Orbitrap,5.4040550000000005,1,6.0,1.0
Orbitrap,5.421930000000001,2,5.0,1.0
Orbitrap,5.523579000000001,4,6.0,1.0
Orbitrap,5.5425640000000005,1,6.0,1.0
Orbitrap,5.552779999999999,1,5.0,1.0
Orbitrap,5.5530990000000005,4,6.0,1.0
Orbitrap,5.5621100000000006,1,5.0,1.0
Orbitrap,5.564468000000001,2,6.0,1.0
Orbitrap,5.642091000000001,1,6.0,1.0
Orbitrap,5.673069000000001,2,6.0,1.0
Orbitrap,5.744012000000001,1,6.0,1.0
Orbitrap,5.751525000000001,1,6.0,1.0
Orbitrap,5.752510170000001,2,8.0,1.0
Orbitrap,5.765066000000001,1,6.0,1.0
Orbitrap,5.782430000000001,1,5.0,1.0
Orbitrap,5.8209360000000006,2,6.0,1.0
Orbitrap,5.8235280000000005,2,6.0,1.0
Orbitrap,5.844120000000001,1,5.0,1.0
Orbitrap,5.852631000000001,2,6.0,1.0
Orbitrap,5.901605539999999,2,8.0,1.0
Orbitrap,5.904312730000001,8,8.0,1.0
Orbitrap,5.904319999999999,1,5.0,1.0
Orbitrap,5.912520000000001,1,5.0,1.0
Orbitrap,5.923289999999999,2,5.0,1.0
Orbitrap,5.944046999999999,2,6.0,1.0
Orbitrap,5.9718990000000005,4,6.0,1.0
Orbitrap,6.021476000000001,1,6.0,1.0
Orbitrap,6.032730000000001,4,5.0,1.0
Orbitrap,6.0828240000000005,1,6.0,1.0
Orbitrap,6.104825000000001,1,6.0,1.0
Orbitrap,6.122541999999999,1,6.0,1.0
Orbitrap,6.142226000000001,1,6.0,1.0
Orbitrap,6.1527650000000005,1,6.0,1.0
Orbitrap,6.155733000000001,8,6.0,1.0
Orbitrap,6.1822420000000005,1,6.0,1.0
Orbitrap,6.212394000000001,1,6.0,1.0
Orbitrap,6.242373000000001,1,6.0,1.0
Orbitrap,6.243995999999999,2,6.0,1.0
Orbitrap,6.2708010000000005,4,6.0,1.0
Orbitrap,6.3617550000000005,4,6.0,1.0
Orbitrap,6.393066000000001,2,6.0,1.0
Orbitrap,6.407170000000001,2,5.0,1.0
Orbitrap,6.420890999999999,1,6.0,1.0
Orbitrap,6.443683999999999,1,6.0,1.0
Orbitrap,6.452547000000001,4,6.0,1.0
Orbitrap,6.453292675000001,2,9.0,1.0
Orbitrap,6.5016050000000005,2,6.0,1.0
Orbitrap,6.502500000000001,1,4.0,1.0
Orbitrap,6.5034220000000005,1,6.0,1.0
Orbitrap,6.504309999999999,1,5.0,1.0
Orbitrap,6.504314999999999,1,6.0,1.0
Orbitrap,6.505436070000001,2,8.0,1.0
Orbitrap,6.524468000000001,4,6.0,1.0
Orbitrap,6.525316000000001,2,6.0,1.0
Orbitrap,6.553513510000001,4,8.0,1.0
Orbitrap,6.555894455000001,2,9.0,1.0
Orbitrap,6.574140000000001,4,5.0,1.0
Orbitrap,6.575228999999999,2,6.0,1.0
Orbitrap,6.603275960000001,12,8.0,1.0
Orbitrap,6.603579000000001,3,6.0,1.0
Orbitrap,6.603839999999999,2,5.0,1.0
Orbitrap,6.605090000000001,2,5.0,1.0
Orbitrap,6.607476180000001,1,8.0,1.0
Orbitrap,6.643451999999999,1,6.0,1.0
Orbitrap,6.653038404999999,5,9.0,1.0
Orbitrap,6.654857680000001,6,8.0,1.0
Orbitrap,6.654859999999999,1,5.0,1.0
Orbitrap,6.6636180000000005,1,6.0,1.0
Orbitrap,6.692234999999999,4,6.0,1.0
Orbitrap,6.702239185000001,3,9.0,1.0
Orbitrap,6.7022450000000005,1,6.0,1.0
Orbitrap,6.704054999999999,1,6.0,1.0
Orbitrap,6.722751000000001,2,6.0,1.0
Orbitrap,6.752948999999999,4,6.0,1.0
Orbitrap,6.7537020000000005,4,6.0,1.0
Orbitrap,6.802133775000001,1,9.0,1.0
Orbitrap,6.8021400000000005,1,5.0,1.0
Orbitrap,6.803780000000001,1,5.0,1.0
Orbitrap,6.803784494999999,6,9.0,2.0
Orbitrap,6.805599999999999,1,4.0,1.0
Orbitrap,6.8429340000000005,1,6.0,1.0
Orbitrap,6.843400000000001,2,4.0,1.0
Orbitrap,6.8522893400000005,4,8.0,1.0
Orbitrap,6.853546944999999,2,9.0,1.0
Orbitrap,6.855360000000001,1,5.0,1.0
Orbitrap,6.861058000000001,1,6.0,1.0
Orbitrap,6.872577000000001,4,6.0,1.0
Orbitrap,6.879023999999999,1,6.0,1.0
Orbitrap,6.884665999999999,4,6.0,1.0
Orbitrap,6.901534000000001,1,6.0,1.0
Orbitrap,6.901656000000001,8,6.0,1.0
Orbitrap,6.904559999999999,2,5.0,1.0
Orbitrap,6.933047999999999,4,6.0,1.0
Orbitrap,6.951948505000001,6,9.0,1.0
Orbitrap,6.952510169999999,3,8.0,1.0
Orbitrap,6.955585000000001,2,6.0,1.0
Orbitrap,6.982658000000001,1,6.0,1.0
Orbitrap,7.0017109500000005,2,8.0,1.0
Orbitrap,7.025556000000001,4,6.0,1.0
Orbitrap,7.053292675000001,2,9.0,1.0
Orbitrap,7.056507000000001,3,6.0,1.0
Orbitrap,7.060442000000001,1,6.0,1.0
Orbitrap,7.104312729999999,1,8.0,1.0
Orbitrap,7.113066000000001,4,6.0,1.0
Orbitrap,7.143222000000001,1,6.0,1.0
Orbitrap,7.151694234999999,1,9.0,1.0
Orbitrap,7.182978000000001,2,6.0,1.0
Orbitrap,7.202389999999999,1,5.0,1.0
Orbitrap,7.203450000000001,4,5.0,1.0
Orbitrap,7.204148999999999,1,6.0,1.0
Orbitrap,7.256115289999999,1,8.0,1.0
Orbitrap,7.263069000000001,2,6.0,1.0
Orbitrap,7.264302000000001,4,6.0,1.0
Orbitrap,7.302989999999999,2,5.0,1.0
Orbitrap,7.304049999999999,1,5.0,1.0
Orbitrap,7.304054999999999,1,6.0,1.0
Orbitrap,7.304609999999999,1,5.0,1.0
Orbitrap,7.304620130000001,2,8.0,1.0
Orbitrap,7.352200000000001,1,4.0,1.0
Orbitrap,7.353815000000001,1,6.0,1.0
Orbitrap,7.354019999999999,4,5.0,1.0
Orbitrap,7.403021689999999,5,8.0,1.0
Orbitrap,7.403784494999999,2,9.0,1.0
Orbitrap,7.403785000000001,1,6.0,1.0
Orbitrap,7.404292000000001,1,6.0,1.0
Orbitrap,7.455355000000001,1,6.0,1.0
Orbitrap,7.481559999999999,2,5.0,1.0
Orbitrap,7.502273999999999,4,6.0,1.0
Orbitrap,7.502916279999999,4,8.0,1.0
Orbitrap,7.503871060000001,2,8.0,1.0
Orbitrap,7.504332000000001,1,6.0,1.0
Orbitrap,7.505406000000001,8,6.0,1.0
Orbitrap,7.506390000000001,4,5.0,1.0
Orbitrap,7.544246000000001,1,6.0,1.0
Orbitrap,7.563689999999999,4,5.0,1.0
Orbitrap,7.564088000000001,2,6.0,1.0
Orbitrap,7.592915999999999,4,6.0,1.0
Orbitrap,7.603530000000001,1,5.0,1.0
Orbitrap,7.605344999999999,1,6.0,1.0
Orbitrap,7.607168774999999,1,9.0,1.0
Orbitrap,7.607170000000001,1,5.0,1.0
Orbitrap,7.624302000000001,2,6.0,1.0
Orbitrap,7.652724999999999,1,6.0,1.0
Orbitrap,7.677989999999999,4,5.0,1.0
Orbitrap,7.680626999999999,4,6.0,1.0
Orbitrap,7.681787999999999,4,6.0,1.0
Orbitrap,7.682447999999999,1,6.0,1.0
Orbitrap,7.683552799999999,1,7.0,1.0
Orbitrap,7.685531999999999,1,6.0,1.0
Orbitrap,7.6886040000000015,4,6.0,2.0
Orbitrap,7.702495000000001,1,6.0,1.0
Orbitrap,7.711434000000001,4,6.0,1.0
Orbitrap,7.742141999999999,4,6.0,1.0
Orbitrap,7.742441999999999,2,6.0,1.0
Orbitrap,7.750520000000001,1,5.0,1.0
Orbitrap,7.751694234999999,1,9.0,2.0
Orbitrap,7.757149999999999,1,5.0,1.0
Orbitrap,7.764704000000001,1,6.0,1.0
Orbitrap,7.801926000000002,2,6.0,2.0
Orbitrap,7.802168000000001,1,6.0,1.0
Orbitrap,7.803834999999999,2,6.0,1.0
Orbitrap,7.830699000000001,3,6.0,1.0
Orbitrap,7.860480000000001,1,5.0,1.0
Orbitrap,7.890513000000001,1,6.0,1.0
Orbitrap,7.891502999999999,1,6.0,1.0
Orbitrap,7.904059999999999,1,5.0,1.0
Orbitrap,7.924028999999999,4,6.0,1.0
Orbitrap,7.924103999999999,1,6.0,1.0
Orbitrap,7.951893000000001,4,6.0,1.0
Orbitrap,8.002960000000002,1,5.0,1.0
Orbitrap,8.006660239999999,2,8.0,1.0
Orbitrap,8.014773000000002,2,6.0,1.0
Orbitrap,8.015568000000002,14,6.0,1.0
Orbitrap,8.054041745000001,2,9.0,1.0
Orbitrap,8.055366220000002,2,8.0,1.0
Orbitrap,8.102739999999999,1,5.0,1.0
Orbitrap,8.105623464999999,6,9.0,1.0
Orbitrap,8.106095999999999,4,6.0,1.0
Orbitrap,8.132850000000001,1,5.0,1.0
Orbitrap,8.133914999999998,2,6.0,1.0
Orbitrap,8.155384999999999,1,6.0,1.0
Orbitrap,8.155385914999998,4,9.0,1.0
Orbitrap,8.156144999999999,1,6.0,1.0
Orbitrap,8.166725999999999,4,6.0,1.0
Orbitrap,8.182739999999999,1,5.0,1.0
Orbitrap,8.195547000000001,4,6.0,1.0
Orbitrap,8.224382000000002,1,6.0,1.0
Orbitrap,8.251074000000001,1,6.0,1.0
Orbitrap,8.252135999999998,1,6.0,1.0
Orbitrap,8.254550000000002,1,5.0,1.0
Orbitrap,8.281896000000001,1,6.0,1.0
Orbitrap,8.282459999999999,4,5.0,1.0
Orbitrap,8.302655000000001,2,6.0,1.0
Orbitrap,8.304305000000001,1,6.0,1.0
Orbitrap,8.306130000000001,2,5.0,1.0
Orbitrap,8.306132005000002,1,9.0,1.0
Orbitrap,8.343011999999998,1,6.0,1.0
Orbitrap,8.352817575000001,3,9.0,1.0
Orbitrap,8.372729999999999,4,5.0,1.0
Orbitrap,8.401456679999999,1,8.0,1.0
Orbitrap,8.403265000000001,1,6.0,1.0
Orbitrap,8.404059799999999,1,7.0,1.0
Orbitrap,8.404628999999998,8,6.0,1.0
Orbitrap,8.405095235000001,4,9.0,1.0
Orbitrap,8.405270400000001,1,7.0,1.0
Orbitrap,8.4508186340332,1,,
Orbitrap,8.454855000000002,1,6.0,1.0
Orbitrap,8.454857680000002,1,8.0,1.0
Orbitrap,8.462672999999999,1,6.0,1.0
Orbitrap,8.463591000000001,4,6.0,1.0
Orbitrap,8.466809999999999,1,5.0,1.0
Orbitrap,8.483991199999998,1,7.0,1.0
Orbitrap,8.486902400000002,1,7.0,1.0
Orbitrap,8.488316999999999,1,6.0,1.0
Orbitrap,8.503058799999998,2,7.0,1.0
Orbitrap,8.504620130000001,2,8.0,1.0
Orbitrap,8.522495999999999,1,6.0,1.0
Orbitrap,8.522967000000001,2,6.0,1.0
Orbitrap,8.555629999999999,1,5.0,1.0
Orbitrap,8.563583999999999,1,6.0,1.0
Orbitrap,8.565040000000002,1,5.0,1.0
Orbitrap,8.580993000000001,1,6.0,1.0
Orbitrap,8.611745999999998,4,6.0,1.0
Orbitrap,8.672120999999999,1,6.0,1.0
Orbitrap,8.701094999999999,1,6.0,1.0
Orbitrap,8.702747725000002,2,9.0,1.0
Orbitrap,8.704161000000001,2,6.0,1.0
Orbitrap,8.705623464999999,2,9.0,1.0
Orbitrap,8.731404000000001,4,6.0,1.0
Orbitrap,8.736201000000001,2,6.0,1.0
Orbitrap,8.750297784999999,1,9.0,1.0
Orbitrap,8.751828105000001,1,9.0,1.0
Orbitrap,8.754325000000001,1,6.0,1.0
Orbitrap,8.754329445000002,2,9.0,1.0
Orbitrap,8.757200000000001,1,4.0,1.0
Orbitrap,8.758424999999999,1,6.0,1.0
Orbitrap,8.761344000000001,1,6.0,1.0
Orbitrap,8.766971999999999,4,6.0,1.0
Orbitrap,8.792108999999998,2,6.0,1.0
Orbitrap,8.792157000000001,1,6.0,1.0
Orbitrap,8.793059999999999,1,5.0,1.0
Orbitrap,8.794488000000001,1,6.0,1.0
Orbitrap,8.803530225000001,4,9.0,1.0
Orbitrap,8.804772000000002,4,6.0,1.0
Orbitrap,8.805148364999999,4,9.0,1.0
Orbitrap,8.805155000000001,1,6.0,1.0
Orbitrap,8.823011999999999,1,6.0,1.0
Orbitrap,8.824824000000001,4,6.0,1.0
Orbitrap,8.825895000000001,4,6.0,1.0
Orbitrap,8.838128000000001,1,6.0,1.0
Orbitrap,8.852459999999999,1,5.0,1.0
Orbitrap,8.853787474999999,1,9.0,1.0
Orbitrap,8.854904999999999,1,6.0,1.0
Orbitrap,8.855111950000001,6,8.0,1.0
Orbitrap,8.855711999999999,2,6.0,1.0
Orbitrap,8.856506999999999,4,6.0,1.0
Orbitrap,8.882100000000001,2,4.0,1.0
Orbitrap,8.884236000000001,4,6.0,1.0
Orbitrap,8.884403999999998,2,6.0,1.0
Orbitrap,8.884934999999999,2,6.0,1.0
Orbitrap,8.903210000000001,2,5.0,1.0
Orbitrap,8.939153999999998,4,6.0,1.0
Orbitrap,8.943612000000002,1,6.0,1.0
Orbitrap,8.951690000000001,1,5.0,1.0
Orbitrap,8.951694999999999,2,6.0,1.0
Orbitrap,8.952750700000001,1,7.0,1.0
Orbitrap,8.955332785000001,1,9.0,1.0
Orbitrap,8.963146400000001,1,7.0,1.0
Orbitrap,8.983358200000001,1,7.0,1.0
Orbitrap,9.003275960000002,3,8.0,1.0
Orbitrap,9.004332425000001,8,9.0,1.0
Orbitrap,9.005090000000001,1,5.0,1.0
Orbitrap,9.006155999999999,2,6.0,1.0
Orbitrap,9.033987000000002,2,6.0,1.0
Orbitrap,9.102247000000002,2,6.0,1.0
Orbitrap,9.124236000000002,4,6.0,1.0
Orbitrap,9.15470066576445,1,,
Orbitrap,9.182441999999998,1,6.0,1.0
Orbitrap,9.212436000000002,2,6.0,1.0
Orbitrap,9.214619999999998,1,5.0,1.0
Orbitrap,9.241001999999998,1,6.0,1.0
Orbitrap,9.306494999999998,4,6.0,1.0
Orbitrap,9.422463000000002,1,6.0,1.0
Orbitrap,9.425885999999998,4,6.0,1.0
Orbitrap,9.446903999999998,1,6.0,1.0
Orbitrap,9.456175000000002,2,6.0,1.0
Orbitrap,9.457426024999998,1,9.0,1.0
Orbitrap,9.482130000000002,2,5.0,1.0
Orbitrap,9.555129999999998,1,5.0,1.0
Orbitrap,9.571344000000002,1,6.0,1.0
Orbitrap,9.578528999999998,1,6.0,1.0
Orbitrap,9.657069000000002,4,6.0,1.0
Orbitrap,9.737819000000002,4,6.0,1.0
Orbitrap,9.755133000000002,2,6.0,1.0
Orbitrap,9.783215999999998,4,6.0,1.0
Orbitrap,9.786702000000002,4,6.0,1.0
Orbitrap,9.853345804999998,2,9.0,1.0
Orbitrap,9.923146400000002,2,7.0,1.0
Orbitrap,10.00878451461685,1,,
Orbitrap,10.088207999999998,1,6.0,1.0
Orbitrap,10.164018400000002,1,7.0,1.0
Orbitrap,10.2554182007716,1,,
Orbitrap,10.2595531489363,1,,
Orbitrap,10.327991999999998,4,6.0,1.0
Orbitrap,10.360308000000002,1,6.0,1.0
Orbitrap,10.403991199999998,2,7.0,1.0
Orbitrap,10.410712000000002,1,6.0,1.0
Orbitrap,10.441313999999998,4,6.0,1.0
Orbitrap,10.563377999999998,1,6.0,1.0
Orbitrap,10.565243199999998,3,7.0,1.0
Orbitrap,10.628315999999998,4,6.0,1.0
Orbitrap,10.644863199999998,2,7.0,1.0
Orbitrap,10.656047999999998,4,6.0,1.0
Orbitrap,10.685568000000002,2,6.0,1.0
Orbitrap,10.725704000000002,1,6.0,1.0
Orbitrap,10.742522999999998,4,6.0,1.0
Orbitrap,10.805003999999998,4,6.0,1.0
Orbitrap,10.806846000000002,1,6.0,1.0
Orbitrap,10.833602999999998,4,6.0,1.0
Orbitrap,10.863462000000002,2,6.0,1.0
Orbitrap,10.956130000000002,1,5.0,1.0
Orbitrap,10.963664799999998,1,7.0,1.0
Orbitrap,11.003184509277348,1,,
Orbitrap,11.106744999999998,1,6.0,1.0
Orbitrap,11.1499671936035,1,,
Orbitrap,11.164511999999998,1,6.0,1.0
Orbitrap,11.202739199999998,1,7.0,1.0
Orbitrap,11.254550000000002,1,5.0,1.0
Orbitrap,11.280856000000002,1,6.0,1.0
Orbitrap,11.283929999999998,2,5.0,1.0
Orbitrap,11.306674999999998,1,6.0,1.0
Orbitrap,11.346138000000002,2,6.0,1.0
Orbitrap,11.376680999999998,4,6.0,1.0
Orbitrap,11.504779999999998,1,5.0,1.0
Orbitrap,11.512394999999998,1,6.0,1.0
Orbitrap,11.530132000000002,1,6.0,1.0
Orbitrap,11.587991999999998,1,6.0,1.0
Orbitrap,11.60595950979465,1,,
Orbitrap,11.65460056593025,1,,
Orbitrap,11.687394399999995,1,7.0,3.0
Orbitrap,11.688240000000002,1,5.0,1.0
Orbitrap,11.760845000000002,4,6.0,1.0
Orbitrap,11.846056799999998,1,7.0,1.0
Orbitrap,11.846579999999998,2,5.0,1.0
Orbitrap,11.856986999999998,1,6.0,1.0
Orbitrap,11.882224000000004,1,6.0,2.0
Orbitrap,11.902254999999998,1,6.0,1.0
Orbitrap,11.90486876531785,1,,
Orbitrap,11.965956000000002,1,6.0,1.0
Orbitrap,12.001613501361598,1,,
Orbitrap,12.056673231162453,1,,
Orbitrap,12.061845000000002,1,6.0,1.0
Orbitrap,12.065460000000002,4,5.0,1.0
Orbitrap,12.130812000000002,1,6.0,1.0
Orbitrap,12.159143999999998,4,6.0,1.0
Orbitrap,12.164536800000002,1,7.0,1.0
Orbitrap,12.199838800000002,2,7.0,1.0
Orbitrap,12.204619999999998,1,5.0,1.0
Orbitrap,12.204630000000002,1,5.0,1.0
Orbitrap,12.243258399999998,1,7.0,1.0
Orbitrap,12.244371199999998,1,7.0,1.0
Orbitrap,12.255855512823452,1,,
Orbitrap,12.283248000000002,3,6.0,1.0
Orbitrap,12.284452000000002,1,6.0,1.0
Orbitrap,12.323991199999998,1,7.0,1.0
Orbitrap,12.329808000000002,2,6.0,1.0
Orbitrap,12.333242999999998,4,6.0,1.0
Orbitrap,12.359005000000002,1,6.0,1.0
Orbitrap,12.457019999999998,1,5.0,1.0
Orbitrap,12.484457999999998,1,6.0,1.0
Orbitrap,12.487991999999998,2,6.0,1.0
Orbitrap,12.520053000000004,4,6.0,2.0
Orbitrap,12.567847999999998,6,6.0,1.0
Orbitrap,12.605379999999998,1,5.0,1.0
Orbitrap,12.605656000000002,2,6.0,1.0
Orbitrap,12.646495199999997,1,7.0,2.0
Orbitrap,12.65484430435805,1,,
Orbitrap,12.700214999999998,1,6.0,1.0
Orbitrap,12.7044185572754,1,,
Orbitrap,12.706220000000002,1,5.0,1.0
Orbitrap,12.7527312417409,1,,
Orbitrap,12.753234999999998,1,6.0,1.0
Orbitrap,12.761792000000002,1,6.0,1.0
Orbitrap,12.785499000000002,2,6.0,1.0
Orbitrap,12.786132000000002,2,6.0,1.0
Orbitrap,12.808479514999998,2,9.0,1.0
Orbitrap,12.841781999999998,1,6.0,1.0
Orbitrap,12.846787999999998,2,6.0,1.0
Orbitrap,12.854474379111153,1,,
Orbitrap,12.905094000000002,4,6.0,1.0
Orbitrap,12.905404999999998,3,6.0,1.0
Orbitrap,12.951990000000002,1,5.0,1.0
Orbitrap,12.954615000000002,1,6.0,1.0
Orbitrap,12.9563087297136,1,,
Orbitrap,12.961926000000002,4,6.0,1.0
Orbitrap,13.0087897350542,1,,
Orbitrap,13.043119999999998,7,5.0,1.0
Orbitrap,13.048619199999996,1,7.0,2.0
Orbitrap,13.050632000000002,2,6.0,1.0
Orbitrap,13.051849999999998,1,5.0,1.0
Orbitrap,13.05490801713845,1,,
Orbitrap,13.055672860023549,1,,
Orbitrap,13.141043999999996,3,6.0,3.0
Orbitrap,13.148280000000002,4,5.0,1.0
Orbitrap,13.154365000000002,1,6.0,1.0
Orbitrap,13.156934999999995,1,6.0,3.0
Orbitrap,13.205649267928749,1,,
Orbitrap,13.207158000000002,4,6.0,1.0
Orbitrap,13.233968999999998,2,6.0,1.0
Orbitrap,13.257192000000002,1,6.0,1.0
Orbitrap,13.286903999999998,1,6.0,1.0
Orbitrap,13.304765000000002,1,6.0,1.0
Orbitrap,13.358515929999998,2,8.0,1.0
Orbitrap,13.40229651637085,1,,
Orbitrap,13.405570791781347,1,,
Orbitrap,13.4077765868755,1,,
Orbitrap,13.410422999999998,1,6.0,1.0
Orbitrap,13.449680999999998,4,6.0,1.0
Orbitrap,13.454390000000002,1,5.0,1.0
Orbitrap,13.505897999999998,4,6.0,1.0
Orbitrap,13.5061721952004,1,,
Orbitrap,13.508553191818352,1,,
Orbitrap,13.519173599999998,1,7.0,1.0
Orbitrap,13.559024464999998,1,9.0,1.0
Orbitrap,13.606495199999998,1,7.0,1.0
Orbitrap,13.686800000000002,2,4.0,1.0
Orbitrap,13.710480000000002,1,5.0,1.0
Orbitrap,13.722116000000002,1,6.0,1.0
Orbitrap,13.754550000000002,1,5.0,1.0
Orbitrap,13.757490000000002,1,5.0,1.0
Orbitrap,13.800533093883102,1,,
Orbitrap,13.803312000000002,8,6.0,1.0
Orbitrap,13.80620924167265,1,,
Orbitrap,13.807945000000002,1,6.0,1.0
Orbitrap,13.808510000000002,1,5.0,1.0
Orbitrap,13.855020307712952,1,,
Orbitrap,13.9082602579383,1,,
Orbitrap,13.909516285000002,1,9.0,1.0
Orbitrap,13.911170000000002,5,5.0,1.0
Orbitrap,13.955035000000002,1,6.0,1.0
Orbitrap,13.95563637897915,1,,
Orbitrap,13.956395999999998,1,6.0,1.0
Orbitrap,14.051112000000002,4,6.0,1.0
Orbitrap,14.055654999999998,1,6.0,1.0
Orbitrap,14.055834999999998,1,6.0,1.0
Orbitrap,14.058801927763302,1,,
Orbitrap,14.1079911166069,1,,
Orbitrap,14.113014000000002,4,6.0,1.0
Orbitrap,14.127439999999998,2,5.0,1.0
Orbitrap,14.163157814999998,3,9.0,1.0
Orbitrap,14.2047393798828,1,,
Orbitrap,14.204945000000002,2,6.0,1.0
Orbitrap,14.208063999999998,4,6.0,1.0
Orbitrap,14.226132000000002,4,6.0,1.0
Orbitrap,14.257988874126498,1,,
Orbitrap,14.293055999999998,2,6.0,1.0
Orbitrap,14.303495000000002,1,6.0,1.0
Orbitrap,14.329508000000002,1,6.0,1.0
Orbitrap,14.355557999999998,4,6.0,1.0
Orbitrap,14.365956000000002,2,6.0,1.0
Orbitrap,14.402602399999996,1,7.0,2.0
Orbitrap,14.405243199999996,1,7.0,2.0
Orbitrap,14.406872000000002,1,6.0,1.0
Orbitrap,14.406900000000002,4,4.0,1.0
Orbitrap,14.406933599999997,2,7.0,2.0
Orbitrap,14.407945000000002,1,6.0,1.0
Orbitrap,14.408080000000002,1,5.0,1.0
Orbitrap,14.408297999999998,1,6.0,1.0
Orbitrap,14.410846720000002,1,8.0,1.0
Orbitrap,14.458991030000002,1,8.0,1.0
Orbitrap,14.460794999999996,1,6.0,2.0
Orbitrap,14.462189999999998,1,5.0,1.0
Orbitrap,14.500444000000002,4,6.0,1.0
Orbitrap,14.508258637276448,1,,
Orbitrap,14.516990000000002,2,5.0,1.0
Orbitrap,14.560743999999998,1,6.0,1.0
Orbitrap,14.566495199999997,1,7.0,2.0
Orbitrap,14.6090430877526,1,,
Orbitrap,14.646907199999998,3,7.0,1.0
Orbitrap,14.6550326121923,1,,
Orbitrap,14.673509999999998,6,5.0,1.0
Orbitrap,14.687003999999998,1,6.0,1.0
Orbitrap,14.727747199999998,1,7.0,1.0
Orbitrap,14.729544000000002,1,6.0,1.0
Orbitrap,14.757740000000002,1,5.0,1.0
Orbitrap,14.758240000000002,1,5.0,1.0
Orbitrap,14.759583713148752,1,,
Orbitrap,14.760839999999998,1,5.0,1.0
Orbitrap,14.8051415520338,1,,
Orbitrap,14.807114999999998,1,6.0,1.0
Orbitrap,14.808224999999998,2,6.0,1.0
Orbitrap,14.808584000000002,1,6.0,1.0
Orbitrap,14.881297599999998,2,7.0,1.0
Orbitrap,14.904841819999998,1,8.0,1.0
Orbitrap,14.906737127659948,1,,
Orbitrap,14.90956403420835,1,,
Orbitrap,14.96059516548795,1,,
Orbitrap,14.963119999999998,3,5.0,1.0
Orbitrap,15.0044860839844,1,,
Orbitrap,15.004547999999998,4,6.0,1.0
Orbitrap,15.007364999999998,2,6.0,1.0
Orbitrap,15.007370000000002,4,5.0,1.0
Orbitrap,15.0079679682201,1,,
Orbitrap,15.055033645918998,1,12.0,1.0
Orbitrap,15.060810000000002,1,5.0,1.0
Orbitrap,15.088492000000002,1,6.0,1.0
Orbitrap,15.109845000000002,1,6.0,1.0
Orbitrap,15.128176000000002,3,6.0,1.0
Orbitrap,15.153579711914052,1,,
Orbitrap,15.1580215589408,1,,
