instrument_type,simulation_challenge,ce_value_set,n_rows,n_unique_ce,n_unique_inchikey,pearson_ce_precursor_mz,spearman_ce_precursor_mz
QTOF,True,ce_decimals_1,847,79,431,0.3559236004428905,0.195031186893535
QTOF,True,ce_decimals_2,452,97,231,0.9796557524633924,0.9859839763035124
QTOF,True,ce_decimals_3,0,0,0,,
QTOF,True,ce_decimals_4,0,0,0,,
QTOF,False,all_nonmissing,1003,22,431,0.047999423071086456,0.13907457849547017
QTOF,False,ce_integer,1003,22,431,0.047999423071086456,0.13907457849547017
QTOF,False,ce_non_integer,0,0,0,,
QTOF,False,ce_integer_in_msnlib_audit_set,413,5,321,-0.05333765197780243,-0.060375750662268406
QTOF,False,ce_integer_not_in_msnlib_audit_set,590,17,348,0.05578796382779271,0.16628424914728532
QTOF,False,ratio_near_int_d2,19,5,11,-0.13454709344033358,0.138782924207314
QTOF,False,ratio_not_near_int_d2,984,21,428,0.05551624949079379,0.13606809633198744
QTOF,False,ce_non_integer_ratio_near_int_d2,0,0,0,,
QTOF,False,ce_non_integer_ratio_not_near_int_d2,0,0,0,,
QTOF,False,ce_integer_ratio_near_int_d2,19,5,11,-0.13454709344033358,0.138782924207314
QTOF,False,ce_integer_ratio_not_near_int_d2,984,21,428,0.05551624949079379,0.13606809633198744
QTOF,False,ratio_near_int_tight,2,1,2,,
QTOF,False,ratio_not_near_int_tight,1001,21,431,0.04335158866897398,0.1341944744035387
QTOF,False,ce_non_integer_ratio_near_int_tight,0,0,0,,
QTOF,False,ce_non_integer_ratio_not_near_int_tight,0,0,0,,
QTOF,False,ce_integer_ratio_near_int_tight,2,1,2,,
QTOF,False,ce_integer_ratio_not_near_int_tight,1001,21,431,0.04335158866897398,0.1341944744035387
QTOF,False,ce_decimals_0,1003,22,431,0.047999423071086456,0.13907457849547017
QTOF,False,ce_decimals_1,0,0,0,,
QTOF,False,ce_decimals_2,0,0,0,,
QTOF,False,ce_decimals_3,0,0,0,,
QTOF,False,ce_decimals_4,0,0,0,,
