instrument_type,ce_is_integer,dist_lo,dist_hi,n_rows
QTOF,True,0.32,0.33,762
QTOF,True,0.33,0.34,756
QTOF,True,0.34,0.35,845
QTOF,True,0.35,0.36,689
QTOF,True,0.36,0.37,727
QTOF,True,0.37,0.38,692
QTOF,True,0.38,0.39,672
QTOF,True,0.39,0.4,765
QTOF,True,0.4,0.41,761
QTOF,True,0.41,0.42,705
QTOF,True,0.42,0.43,667
QTOF,True,0.43,0.44,688
QTOF,True,0.44,0.45,886
QTOF,True,0.45,0.46,828
QTOF,True,0.46,0.47,773
QTOF,True,0.47,0.48,827
QTOF,True,0.48,0.49,742
QTOF,True,0.49,0.5,592
