instrument_type,ce_is_integer,ratio_nearest_int,n_rows,n_unique_ce,n_unique_inchikey,n_simulation_challenge,pearson_ce_mz,in_msnlib_audit_set,multiple_of_5
Orbitrap,True,20,5,2,5,5,0.9999997792646105,True,True
Orbitrap,True,30,5,2,4,5,0.9999999905838083,True,True
Orbitrap,True,50,5,2,3,5,0.9999999983095071,False,True
Orbitrap,True,74,5,2,4,5,0.999999986229666,False,False
Orbitrap,True,77,5,2,3,5,0.9999999706566409,False,False
Orbitrap,True,106,5,2,2,5,0.9999999999999999,False,False
Orbitrap,True,109,5,1,2,5,,False,False
Orbitrap,True,154,5,2,3,5,0.9999999942104455,False,False
Orbitrap,True,189,5,2,3,5,0.9999999997458859,False,False
Orbitrap,True,31,4,2,2,2,1.0,False,False
Orbitrap,True,79,4,1,2,4,,False,False
Orbitrap,True,80,4,2,3,4,0.9999999680407458,False,True
Orbitrap,True,87,4,1,1,4,,False,False
Orbitrap,True,99,4,1,4,4,,False,False
Orbitrap,True,103,4,1,2,4,,False,False
Orbitrap,True,114,4,2,4,4,0.9999987749343776,False,False
Orbitrap,True,142,4,1,3,4,,False,False
Orbitrap,True,148,4,2,2,4,0.9999999999999999,False,False
Orbitrap,True,158,4,1,1,4,,False,False
Orbitrap,True,182,4,1,1,4,,False,False
Orbitrap,True,308,4,2,2,4,0.9999999999999998,False,False
Orbitrap,True,391,4,1,2,4,,False,False
Orbitrap,True,441,4,1,2,4,,False,False
Orbitrap,True,40,3,2,3,3,0.999999989656,False,True
Orbitrap,True,45,3,2,2,3,0.9999999999999999,True,True
Orbitrap,True,60,3,2,2,3,0.9999999999999998,True,True
Orbitrap,True,157,3,1,3,3,,False,False
Orbitrap,True,159,3,1,2,3,,False,False
Orbitrap,True,160,3,2,2,3,1.0,False,True
Orbitrap,True,36,2,1,2,2,,False,False
Orbitrap,True,56,2,1,1,2,,False,False
Orbitrap,True,59,2,1,1,2,,False,False
Orbitrap,True,75,2,1,1,2,,True,True
Orbitrap,True,81,2,1,2,1,,False,False
Orbitrap,True,90,2,1,1,2,,False,True
Orbitrap,True,93,2,1,1,2,,False,False
Orbitrap,True,112,2,1,1,2,,False,False
Orbitrap,True,113,2,1,1,2,,False,False
Orbitrap,True,118,2,1,1,2,,False,False
Orbitrap,True,120,2,1,1,2,,False,True
Orbitrap,True,128,2,1,1,2,,False,False
Orbitrap,True,141,2,1,1,2,,False,False
Orbitrap,True,150,2,1,1,2,,False,True
Orbitrap,True,165,2,1,1,2,,False,True
Orbitrap,True,172,2,1,1,2,,False,False
Orbitrap,True,177,2,1,1,2,,False,False
Orbitrap,True,181,2,1,1,2,,False,False
Orbitrap,True,193,2,1,1,2,,False,False
Orbitrap,True,204,2,1,2,2,,False,False
Orbitrap,True,216,2,1,1,2,,False,False
Orbitrap,True,226,2,1,1,2,,False,False
Orbitrap,True,230,2,1,1,2,,False,False
Orbitrap,True,237,2,1,1,2,,False,False
Orbitrap,True,241,2,1,1,2,,False,False
Orbitrap,True,276,2,1,1,2,,False,False
Orbitrap,True,280,2,1,1,2,,False,False
Orbitrap,True,283,2,1,1,2,,False,False
Orbitrap,True,286,2,1,1,2,,False,False
Orbitrap,True,291,2,1,1,2,,False,False
Orbitrap,True,333,2,1,1,2,,False,False
Orbitrap,True,386,2,1,1,2,,False,False
Orbitrap,True,421,2,1,1,2,,False,False
Orbitrap,True,503,2,1,1,2,,False,False
Orbitrap,True,528,2,1,1,2,,False,False
Orbitrap,True,9,1,1,1,1,,False,False
Orbitrap,True,13,1,1,1,1,,False,False
Orbitrap,True,14,1,1,1,1,,False,False
Orbitrap,True,15,1,1,1,1,,True,True
Orbitrap,True,18,1,1,1,1,,False,False
Orbitrap,True,22,1,1,1,1,,False,False
Orbitrap,True,27,1,1,1,1,,False,False
Orbitrap,True,37,1,1,1,1,,False,False
Orbitrap,True,43,1,1,1,1,,False,False
Orbitrap,True,62,1,1,1,1,,False,False
Orbitrap,True,67,1,1,1,1,,False,False
Orbitrap,True,70,1,1,1,1,,False,True
Orbitrap,True,91,1,1,1,1,,False,False
Orbitrap,True,95,1,1,1,0,,False,True
Orbitrap,True,136,1,1,1,1,,False,False
Orbitrap,True,149,1,1,1,1,,False,False
Orbitrap,True,184,1,1,1,1,,False,False
Orbitrap,True,191,1,1,1,1,,False,False
Orbitrap,True,238,1,1,1,1,,False,False
Orbitrap,True,262,1,1,1,1,,False,False
Orbitrap,True,264,1,1,1,1,,False,False
QTOF,False,123,8,1,4,8,,False,False
QTOF,False,120,6,3,3,6,1.0,False,True
QTOF,False,57,4,1,2,4,,False,False
QTOF,False,25,2,2,2,2,,False,True
QTOF,False,41,2,1,1,2,,False,False
QTOF,False,49,2,1,1,2,,False,False
QTOF,False,71,2,1,1,2,,False,False
QTOF,False,72,2,1,1,2,,False,False
QTOF,False,140,2,1,1,2,,False,True
QTOF,True,0,190,1,119,188,,False,False
QTOF,True,34,49,4,20,47,0.9999999889515002,False,False
QTOF,True,49,46,6,22,46,0.9999999504593817,False,False
QTOF,True,14,35,2,14,34,0.9999997065281456,False,False
QTOF,True,102,33,5,17,33,0.999999983084586,False,False
QTOF,True,98,30,5,17,30,0.999999955982206,False,False
QTOF,True,8,28,2,5,28,0.9999999972456586,False,False
QTOF,True,68,28,3,15,28,0.99999998856931,False,False
QTOF,True,51,21,4,12,21,0.9999999703453638,False,False
QTOF,True,42,19,5,13,19,0.9999999902924391,False,False
QTOF,True,17,18,2,10,15,0.9999999287272037,False,False
QTOF,True,21,18,3,12,18,0.9999999841396132,False,False
QTOF,True,33,17,2,11,17,0.9999999714103209,False,False
QTOF,True,10,16,2,2,16,1.0,False,True
QTOF,True,147,14,3,6,14,0.9999999707024095,False,False
QTOF,True,136,13,3,8,13,0.9999999905174893,False,False
QTOF,True,66,12,2,5,12,0.9999999345665713,False,False
QTOF,True,28,11,1,9,10,,False,False
QTOF,True,43,11,1,4,11,,False,False
QTOF,True,71,11,2,5,11,0.9999999933773378,False,False
QTOF,True,56,10,2,7,10,0.9999999527328678,False,False
QTOF,True,20,9,1,6,9,,True,True
QTOF,True,40,8,2,5,8,0.9999999902583582,False,True
QTOF,True,93,8,2,4,7,0.9999990177400286,False,False
QTOF,True,100,8,3,3,8,0.9999999814959543,False,True
QTOF,True,119,8,4,5,8,0.9999999905289494,False,False
QTOF,True,99,7,1,1,7,,False,False
QTOF,True,25,6,1,3,6,,False,True
QTOF,True,39,6,1,2,6,,False,False
QTOF,True,47,6,1,3,6,,False,False
QTOF,True,63,6,1,4,6,,False,False
QTOF,True,70,6,1,3,6,,False,True
QTOF,True,111,6,2,3,6,1.0,False,False
QTOF,True,67,5,1,2,5,,False,False
QTOF,True,72,5,1,2,5,,False,False
QTOF,True,79,5,1,2,5,,False,False
QTOF,True,129,5,2,3,5,0.9999999996439918,False,False
QTOF,True,142,5,1,3,5,,False,False
QTOF,True,15,4,1,2,4,,True,True
QTOF,True,31,4,2,3,1,0.9999999999993167,False,False
QTOF,True,80,4,1,1,4,,False,True
QTOF,True,84,4,1,2,4,,False,False
QTOF,True,85,4,2,3,4,0.9999999966684153,False,True
QTOF,True,92,4,1,3,4,,False,False
QTOF,True,105,4,1,2,4,,False,True
QTOF,True,159,4,2,4,4,0.99999999516529,False,False
QTOF,True,270,4,1,1,4,,False,False
QTOF,True,19,3,1,2,3,,False,False
QTOF,True,27,3,1,3,3,,False,False
QTOF,True,46,3,1,1,3,,False,False
QTOF,True,60,3,1,1,3,,True,True
QTOF,True,131,3,1,3,3,,False,False
QTOF,True,135,3,1,1,3,,False,True
QTOF,True,149,3,2,3,3,1.0,False,False
QTOF,True,163,3,2,3,3,0.9999999936216324,False,False
QTOF,True,6,2,1,1,0,,False,False
QTOF,True,24,2,1,1,0,,False,False
QTOF,True,37,2,2,2,2,,False,False
QTOF,True,50,2,1,1,2,,False,True
QTOF,True,54,2,1,2,2,,False,False
QTOF,True,88,2,1,2,2,,False,False
QTOF,True,103,2,2,2,2,,False,False
QTOF,True,153,2,1,2,2,,False,False
QTOF,True,158,2,2,2,2,,False,False
QTOF,True,165,2,1,2,2,,False,True
QTOF,True,170,2,2,2,2,,False,True
QTOF,True,191,2,1,2,2,,False,False
QTOF,True,193,2,1,2,2,,False,False
QTOF,True,196,2,1,2,2,,False,False
QTOF,True,204,2,1,2,2,,False,False
QTOF,True,222,2,1,2,2,,False,False
QTOF,True,227,2,1,2,2,,False,False
QTOF,True,237,2,2,2,2,,False,False
QTOF,True,238,2,1,2,2,,False,False
QTOF,True,255,2,1,2,2,,False,False
QTOF,True,263,2,2,2,2,,False,False
QTOF,True,294,2,1,2,2,,False,False
QTOF,True,7,1,1,1,0,,False,False
QTOF,True,23,1,1,1,1,,False,False
QTOF,True,38,1,1,1,1,,False,False
QTOF,True,44,1,1,1,1,,False,False
QTOF,True,45,1,1,1,1,,True,True
QTOF,True,55,1,1,1,1,,False,True
QTOF,True,58,1,1,1,1,,False,False
QTOF,True,83,1,1,1,1,,False,False
QTOF,True,86,1,1,1,1,,False,False
QTOF,True,90,1,1,1,1,,False,True
QTOF,True,101,1,1,1,1,,False,False
QTOF,True,108,1,1,1,1,,False,False
QTOF,True,110,1,1,1,1,,False,True
QTOF,True,120,1,1,1,1,,False,True
QTOF,True,140,1,1,1,1,,False,True
QTOF,True,144,1,1,1,1,,False,False
QTOF,True,151,1,1,1,1,,False,False
QTOF,True,154,1,1,1,1,,False,False
QTOF,True,179,1,1,1,1,,False,False
QTOF,True,183,1,1,1,1,,False,False
QTOF,True,186,1,1,1,1,,False,False
QTOF,True,195,1,1,1,1,,False,True
QTOF,True,199,1,1,1,1,,False,False
QTOF,True,201,1,1,1,1,,False,False
QTOF,True,203,1,1,1,1,,False,False
QTOF,True,206,1,1,1,1,,False,False
QTOF,True,211,1,1,1,1,,False,False
QTOF,True,220,1,1,1,1,,False,False
QTOF,True,228,1,1,1,1,,False,False
QTOF,True,232,1,1,1,1,,False,False
QTOF,True,239,1,1,1,1,,False,False
QTOF,True,253,1,1,1,1,,False,False
QTOF,True,261,1,1,1,1,,False,False
QTOF,True,269,1,1,1,1,,False,False
QTOF,True,272,1,1,1,1,,False,False
QTOF,True,282,1,1,1,1,,False,False
QTOF,True,298,1,1,1,1,,False,False
QTOF,True,302,1,1,1,1,,False,False
QTOF,True,321,1,1,1,1,,False,False
QTOF,True,352,1,1,1,0,,False,False
QTOF,True,363,1,1,1,1,,False,False
QTOF,True,402,1,1,1,1,,False,False
QTOF,True,409,1,1,1,1,,False,False
QTOF,True,551,1,1,1,1,,False,False
