key,n_records,n_nce,nce_ladder,sg,n_sg,smiles,name,mh_calc,releases,uchem_ids,instruments,confidence,ge3,in_msg15,in_msg15_recorded_route,in_msg15_parent_route,in_msg15_sim,msg_folds,in_registry,in_exposed_union,in_devpop,in_pr7,in_comparator,in_msnlib9,sg_in_msg15,sg_in_registry,sg_in_pr7,sg_in_comparator,sg_in_devpop_file
APTZNLHMIGJTEW,6,6,"15,30,45,60,75,90",c1ccc(-c2cc[nH]n2)cc1,1,CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl,Pyraflufen-ethyl,413.02772338288,2024.11,3552,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,test,True,True,True,False,False,False,True,True,False,False,True
APZSGEHAFPIYQZ,9,9,"15,30,45,60,75,90,120,150,180",c1ccc(-c2ccncc2)cc1,1,CCOC(=O)C1=C(C(=C(N=C1COCCN)C)C(=O)OC)C2=CC=CC=C2Cl,,407.13682598288,2024.06,11540,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,False
AUZONCFQVSMFAP,9,9,"15,30,45,60,75,90,120,150,180",__ACYCLIC__AUZONCFQVSMFAP,1,CCN(CC)C(=S)SSC(=S)N(CC)CC,Disulfiram,297.05820910688,2024.06,11632,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,False
AVOCDJCZFLQTCS,9,9,"15,30,45,60,75,90,120,150,180",__ACYCLIC__AVOCDJCZFLQTCS,1,C[N+](C)(CCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(=O)[O-],"2-[dimethyl(4,4,5,5,6,6,7,7,8,8,8-undecafluorooctyl)azaniumyl]acetate",414.09216557488,dev,11824,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
AVOLBYOSCILFLL,9,9,"15,30,45,60,75,90,120,150,180",c1ccccc1,1,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,"1-O-butyl 2-O-(2-ethylhexyl) benzene-1,2-dicarboxylate",335.22168590688,2024.11,11106,Exploris 240 Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True
AZSKHRTUXHLAHS,9,9,"15,30,45,60,75,90,120,150,180",O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1,CC(C)(C)C1=CC(=C(C=C1)OP(=O)(OC2=C(C=C(C=C2)C(C)(C)C)C(C)(C)C)OC3=C(C=C(C=C3)C(C)(C)C)C(C)(C)C)C(C)(C)C,,663.4536735928799,2025.10,10965,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,True,True,False,False,False,True,True,True,False,False,True
BEQVQKJCLJBTKZ,9,9,"15,30,45,60,75,90,120,150,180",O=[PH](c1ccccc1)c1ccccc1,1,O=P(O)(c1ccccc1)c1ccccc1,Diphenylphosphinic Acid,219.05694268888,dev,10602,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False
BGDKAVGWHJFAGW,9,9,"15,30,45,60,75,80,90,120,150",O=C(Cc1ccccc1)NCc1ccncc1,1,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2,N-ethyl-3-hydroxy-2-phenyl-N-(pyridin-4-ylmethyl)propanamide,285.15975434688,2024.11,10773,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,False
BGRDGMRNKXEXQD,8,8,"15,30,45,60,75,90,120,150",O=c1ccc(=O)[nH][nH]1,1,C1=CC(=O)NNC1=O,"1,2-dihydropyridazine-3,6-dione",113.03455383488,2024.11,3489,Exploris 240 Thermo Scientific,standard compound,True,False,False,False,False,,True,True,False,False,False,True,False,True,False,False,False
BKAWJIRCKVUVED,9,9,"15,30,45,60,75,90,120,150,180",c1cscn1,1,CC1=C(SC=N1)CCO,,144.04776137488,2024.06,10747,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,False,True,True,False,False,True
BMLIZLVNXIYGCK,9,9,"15,30,45,60,75,90,120,150,180",c1ccccc1,1,CN(C)C(=O)NC1=CC=C(Cl)C=C1,"3-(4-chlorophenyl)-1,1-dimethylurea",199.06326711888,2024.11,161,Q Exactive Plus,standard compound,True,True,True,True,True,train,True,True,True,False,False,False,True,True,False,False,True
BMPDWHIDQYTSHX,9,9,"15,30,45,60,75,90,120,150,180",c1ccc2c(c1)CCc1ccccc1N2,1,C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,,255.11280415488,2024.06,11512,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,True
BNCADMBVWNPPIZ,9,9,"15,30,45,60,75,90,120,150,180",c1ncncn1,1,COCN(COC)C1=NC(=NC(=N1)N(COC)COC)N(COC)COC,,391.22995914687993,2024.06,10456,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,False,True,True,False,False,True
BOCZYIUKFAQNLG,9,9,"15,30,45,60,75,90,120,150,180",c1ccc(-c2c[nH]c3ccccc23)cc1,1,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)OC)O)O)C3=CC=C(C=C3)F,Fluvastatin Methyl Ester,426.2075130628799,dev,4353,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,False
BPICBUSOMSTKRF,6,6,"15,30,45,60,75,90",c1ccc(NC2=NCCCS2)cc1,1,CC1=C(C(=CC=C1)C)NC2=NCCCS2,"N-(2,6-dimethylphenyl)-5,6-dihydro-4H-1,3-thiazin-2-amine",221.11069597888,2024.11,10584,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,False,train,True,True,True,False,False,False,True,True,False,False,True
BQSJTQLCZDPROO,9,9,"15,30,45,60,75,90,120,150,180",c1ccc(-c2nccs2)cc1,1,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O,"2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-1,3-thiazole-5-carboxylic acid",317.09543983887994,2024.11,11002,Q Exactive Plus,standard compound,True,True,True,True,True,val,True,True,False,False,False,True,True,True,False,False,False
BYPFEZZEUUWMEJ,8,8,"15,30,45,60,75,90,120,150",O=c1[nH]c(=O)c2[nH]cnc2[nH]1,1,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,,279.14516690287996,2024.06,11499,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,True
BYXCFUMGEBZDDI,7,7,"15,30,45,60,75,90,120",O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,1,CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C,,211.08256664688,2024.06,11509,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,False
CFJMRBQWBDQYMK,8,8,"15,30,45,60,75,90,120,150",c1ccc(C2CCCC2)cc1,1,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2,2-[2-(diethylamino)ethoxy]ethyl 1-phenylcyclopentane-1-carboxylate,334.23767031888,2024.11,3766,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,False
CFXCGWWYIDZIMU,9,9,"15,30,45,60,75,90,120,150,180",c1ccccc1,1,CCCCCCCCOC(=O)CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,,391.32067167088,2025.10,10897,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,False,True,True,False,False,True
CGRTZESQZZGAAU,9,9,"15,30,45,60,75,90,120,150,180",O=C(CCc1ccccc1)OCCC1OCC2(CO1)COC(CCOC(=O)CCc1ccccc1)OC2,1,CC1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCC(C)(C)C2OCC3(CO2)COC(OC3)C(C)(C)COC(=O)CCC4=CC(=C(C(=C4)C)O)C(C)(C)C,,741.4572247148798,2025.10,10858,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
COYBRKAVBMYYSF,8,8,"15,30,45,60,75,90,120,150",c1ccc2ncccc2c1,1,CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12,Cloquintocet-mexyl,336.13609771088005,2024.11,3812,Q Exactive Plus,standard compound,True,True,True,True,True,train,True,True,True,False,False,True,True,True,False,False,True
CPMDPSXJELVGJG,7,7,"15,30,45,60,75,90,120",O=C(CN1CCNCC1)Nc1ccc(N=C(c2ccccc2)c2c[nH]c3ccccc23)cc1,1,CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O,Nintedanib,540.2605310028799,2024.11,11010,Q Exactive,standard compound,True,True,True,True,True,test,True,True,False,False,False,True,True,True,False,False,False
CTSLUCNDVMMDHG,9,9,"15,30,45,60,75,90,120,150,180",O=c1cc[nH]c(=O)[nH]1,1,CCC(C)N1C(=O)NC(C)=C(Br)C1=O,"5-bromo-3-butan-2-yl-6-methyl-1H-pyrimidine-2,4-dione",261.02331622288,2024.11,266,Q Exactive Plus,standard compound,True,True,True,True,True,train,True,True,True,False,False,False,True,True,False,False,True
CXBMCYHAMVGWJQ,9,9,"15,30,45,60,75,90,120,150,180",O=C(OCN1C(=O)C2=C(CCCC2)C1=O)C1CC1,1,CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)C3=C(C2=O)CCCC3)C,"(1,3-dioxo-4,5,6,7-tetrahydroisoindol-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",332.18563474688,2024.11,3219,Exploris 240 Thermo Scientific,standard compound,True,False,False,False,False,,True,True,True,False,False,False,False,True,False,False,True
CXQWRCVTCMQVQX,9,9,"15,30,45,60,75,90,120,150,180",O=C1CC(c2ccccc2)Oc2ccccc21,1,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,,305.06557919087993,2025.10,11930,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,False
CZBPKFICAYVHHM,8,8,"15,30,45,60,75,90,120,150",O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,1,CC(C1=C(C(NC2=CC=CC=C2O)=O)C(C3=CC=CC=C3)=C(C4=CC=C(F)C=C4)N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C,,575.2551915268799,2024.06,11563,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,False
CZIHNRWJTSTCEX,9,9,"15,30,45,60,75,90,120,150,180",c1ccc2c(c1)Cc1ccccc1-2,1,CC(=O)NC1=CC=C2C(CC3=C2C=CC=C3)=C1,2-Acetylaminofluorene,224.10699050288,2024.11,11084,Q Exactive Plus,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True
DAWYIZBOUQIVNX,9,9,"15,30,45,60,75,90,120,150,180",c1ccc2c(c1)Cc1cccnc1N1CCNCC21,1,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC(=CN=C42)O,,282.16008869488,2024.06,3712,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,False,True,True,False,False,False
DBZAKQWXICEWNW,9,9,"15,30,45,60,75,90,120,150,180",c1cnccn1,1,CC(=O)C1=NC=CN=C1,,123.05528927888,2024.06,11517,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,True,True,True,False,False,True
DDFOUSQFMYRUQK,9,9,"15,20,25,30,40,50,60,70,80",c1ccc(-c2csc(CC(Cn3cncn3)c3ccccc3)n2)cc1,1,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=CC(=C4)F)F)O,"4-[2-[(2R,3R)-3-[2,5-bis(fluoranyl)phenyl]-3-oxidanyl-4-(1,2,4-triazol-1-yl)butan-2-yl]-1,3-thiazol-4-yl]benzenecarbonitrile",438.11946407088,2024.11,10988,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,False
DECIPOUIJURFOJ,9,9,"15,30,45,60,75,90,120,150,180",C1=Cc2ccccc2NC1,1,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,,218.15394069488,2025.10,3652,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,True,False,False,True,True,True,False,False,True
DEQZTKGFXNUBJL,6,6,"15,30,45,60,75,90",c1ccc2sc(SNC3CCCCC3)nc2c1,1,C1CCC(CC1)NSC2=NC3=CC=CC=C3S2,"N-(1,3-benzothiazol-2-ylsulfanyl)cyclohexanamine",265.08276697888,2024.11,3889,Exploris 240 Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
DFZSBQYOXAUYCB,9,9,"15,30,45,60,75,90,120,150,180",c1ccccc1,1,O=N(=O)C=1C=C(N)C=C(N)C1C,"2,4-diamino-6-nitrotoluene",168.07675299488,dev,11848,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True
DHNRXBZYEKSXIM,9,9,"15,30,45,60,75,90,120,150,180",O=c1ccs[nH]1,1,CN1SC(Cl)=CC1=O,5-Chloro-2-methyl-3(2H)-isothiazolone,149.97748889488,2024.11,280,Q Exactive Plus,standard compound,True,True,True,True,True,train,True,True,True,False,False,False,True,True,False,False,True
DJUKMHIJCDJSIJ,9,9,"15,30,45,60,75,90,120,150,180",c1ccc(-c2ccncn2)cc1,1,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)NS(=O)(=O)C,,468.15991123888,2024.06,11548,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,False
DKVATWZCDNHYCW,5,5,"15,30,45,60,120",__ACYCLIC__DKVATWZCDNHYCW,1,CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"2-methyl-2-[3-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctylsulfanyl)propanoylamino]propane-1-sulfonic acid",588.05424338288,dev,12114,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
DMBHHRLKUKUOEG,18,9,"15,30,45,60,75,90,120,150,180",c1ccc(Nc2ccccc2)cc1,1,C=1C=CC(=CC1)NC=2C=CC=CC2,Diphenylamine,170.09642581888,"2025.10,dev",3092,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,True,False,False,True,True,True,False,False,True
DMJNNHOOLUXYBV,8,8,"15,30,45,60,75,90,120,150",O=C1CC2CC(SC3CCNC3)=CN12,1,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,3-[5-(dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl-6-(1-hydroxyethyl)-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid,384.15876836687994,2024.11,3236,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,False,val,True,True,True,False,False,True,True,True,False,False,True
DNRJTBAOUJJKDY,6,6,"15,30,45,60,75,90",c1ccc2c(c1)CCCC2,1,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,Tonalid,259.20564191888,2024.11,251,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,True,False,False,False,True,True,False,False,True
DOBNVUFHFMVMDB,9,9,"15,30,45,60,75,90,120,150,180",c1ccc(-c2ccccc2)cc1,1,CC(CC(CC1=CC=C(C=C1)C2=CC=CC=C2)NC(=O)CCC(=O)O)C(=O)O,,384.1805493668799,2024.06,11549,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,True
DOZRDZLFLOODMB,7,7,"15,30,45,60,75,90,120",c1ccccc1,1,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O,,235.16925641088,2025.10,11915,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,False,True,True,False,False,True
DQBHJILNHNRDTM,8,8,"15,30,45,60,75,90,120,150",O=C1C=CCC=C1,1,CC1(C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C)O,,237.18490647488,2025.10,11917,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
DRLFMBDRBRZALE,9,9,"15,20,25,30,40,50,60,70,80",c1ccc2[nH]ccc2c1,1,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,Melatonin,233.12845421888,2024.11,11023,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,True,False,False,True,True,True,False,False,True
DSBIJCMXAIKKKI,9,9,"15,30,45,60,75,90,120,150,180",c1ccccc1,1,O=N(=O)C1=CC=C(C(N)=C1)C,2-amino-4-nitrotoluene,153.06585396288,dev,11572,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True
DSRUAYIFDCHEEV,9,9,"15,30,45,60,75,90,120,150,180",__ACYCLIC__DSRUAYIFDCHEEV,1,CN(CCO)S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,"1,1,2,2,3,3,4,4,4-nonafluoro-N-(2-hydroxyethyl)-N-methylbutane-1-sulfonamide",358.01539456288,dev,12009,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False
DTDSAWVUFPGDMX,5,5,"15,30,45,60,75",O=C1OC2(C=C1c1ccccc1)CCCCC2,1,CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)C3=C(C=C(C=C3)Cl)Cl,Spirodiclofen,411.11244107488,2024.11,3815,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,True,False,False,True,True,True,False,False,True
DXDRHHKMWQZJHT,9,9,"15,30,45,60,75,90,120,150,180",O=C(C=Cc1ccccc1)c1ccccc1,1,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,,257.08083533088,2025.10,11927,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,True,True,False,False,False,True,True,True,False,False,False
DYLGFOYVTXJFJP,7,7,"15,30,45,60,75,90,120",C(=C1c2ccccc2-c2ccccc21)c1ccccc1,1,CCCCN(CCCC)CC(C1=C2C3=C(C=C(C=C3)Cl)C(=CC4=CC=C(C=C4)Cl)C2=CC(=C1)Cl)O,Benflumetol,528.16222415088,2024.11,3315,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,test,False,False,False,False,False,True,True,False,False,False,False
DYSDOYRQWBDGQQ,9,9,"15,30,45,60,75,90,120,150,180",c1ncc2ncn(C3CCCO3)c2n1,1,CNC1=C2C(=NC=N1)N(C=N2)C3CC(C(O3)CO)O,,266.12476580688,2025.10,11900,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,False,True,True,False,False,True
DZNJMLVCIZGWSC,7,7,"15,30,45,60,75,90,120",O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,1,CCN(CC)C1=CC=C2C(OC3=CC(=CC=C3C22OC(=O)C3=CC=CC=C23)N(CC)CC)=C1,C.I. Solvent Red 49,443.23291928688,2024.11,11079,Exploris 240 Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,False,True,True,False,False,True
FARSXMMESQDZMY,5,5,"15,30,45,60,75",c1ccccc1,1,CN(C)C(=O)C1=CC=C(C=C1)Cl,"4-Chloro-N,N-Dimethylbenzamide",184.05236808688,2024.11,10999,Q Exactive,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True
FCGKUUOTWLWJHE,9,9,"15,30,45,60,75,90,120,150,180",c1ccccc1,1,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+](=O)[O-],,252.15941999888,2025.10,11950,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,True,True,False,False,False,False,True,True,False,False,True
FELZONDEFBLTSP,7,7,"15,30,45,60,75,90,120",c1ccc(-c2cn3ccccc3n2)cc1,1,CC1=CN2C(=NC(=C2CC(=O)N(C)C)C3=CC=C(C=C3)C(=O)O)C=C1,,338.14991793487997,2024.06,11535,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,False
FJDPATXIBIBRIM,7,7,"15,30,45,60,75,90,120",O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,1,CC(=CC1C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,Cyphenothrin,376.19072012688,2024.11,3222,Exploris 240 Thermo Scientific|Q Exactive Plus,standard compound,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,True
FJKROLUGYXJWQN,9,9,"15,30,45,60,75,90,120,150,180",c1ccccc1,1,C1=CC(=CC=C1C(=O)O)O,,139.03897051888,2025.10,11935,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,True,True,True,True,train,False,False,False,False,False,True,True,True,False,False,True
FLEFKKUZMDEUIP,9,9,"15,30,45,60,75,90,120,150,180",c1ccc(C2CC(c3ccc4c(c3)COC43CNC3)=NO2)cc1,1,CS(=O)(=O)CC(=O)N1CC2(C1)C3=C(CO2)C=C(C=C3)C4=NOC(C4)(C5=CC(=C(C(=C5)Cl)F)Cl)C(F)(F)F,"1-[6-[5-(3,5-dichloro-4-fluorophenyl)-5-(trifluoromethyl)-4H-1,2-oxazol-3-yl]spiro[1H-2-benzofuran-3,3`-azetidine]-1`-yl]-2-methylsulfonylethanone",581.03223738288,dev,12070,Exploris 240 Orbitrap Thermo Scientific,standard compound,True,False,False,False,False,,True,True,True,False,False,True,False,True,False,False,True
